# 20240820
# TI IWR6843AOPEVM
# Copper corner reflector
# Cory roof
# Range: 3 m

Azimuth,Elevation,TX1RX1,TX1RX2,TX1RX3,TX1RX4,TX2RX1,TX2RX2,TX2RX3,TX2RX4,TX3RX1,TX3RX2,TX3RX3,TX3RX4
-32.089958,-0.000000,(-173283-201100j),(-197407-173180j),(201232-173220j),(262208-153886j),(270425+245635j),(160547+202067j),(-250855+260750j),(-252137+143191j),(-202435-275956j),(-127515-266059j),(267535-153886j),(261509-126645j)
-32.089958,-0.000000,(-148208-221131j),(-174179-189753j),(218071-149206j),(278451-123380j),(241720+275052j),(135340+219906j),(-275933+231835j),(-271332+111629j),(-167632-295589j),(-98779-276969j),(282610-123338j),(273833-91946j)
-32.089958,-0.000000,(-120691-239272j),(-148801-204402j),(233548-123398j),(293648-90662j),(208032+300157j),(110103+236870j),(-300768+198911j),(-284107+78595j),(-131459-312388j),(-67569-289857j),(296352-89719j),(283242-56630j)
-32.089958,-0.000000,(-51334-266338j),(-88682-227442j),(254116-59757j),(310470-12775j),(121695+343876j),(44752+256725j),(-341425+116847j),(-298169-3521j),(-42777-331699j),(2896-299821j),(312389-9563j),(286178+22959j)
-32.089958,-0.000000,(-5299-271375j),(-50220-238094j),(259511-16888j),(308361+37248j),(63078+359075j),(2184+260637j),(-354054+60181j),(-296944-51735j),(12884-331561j),(47596-299456j),(309754+42484j),(278689+70065j)
-32.089958,-0.000000,(5114-270011j),(-42386-236399j),(259085-6636j),(305358+46179j),(50138+359311j),(-8830+259736j),(-354969+45704j),(-292991-64215j),(24592-328060j),(57314-296318j),(307575+54641j),(273130+79331j)
-32.089958,-0.000000,(42880-267531j),(-11576-236441j),(257504+26929j),(297219+85849j),(498+361840j),(-43385+257750j),(-358570-351j),(-283449-104107j),(70324-320870j),(92562-286855j),(299872+93570j),(258924+118526j)
-32.089958,-0.000000,(42257-269691j),(-10951-238868j),(259388+27600j),(297034+85211j),(559+365279j),(-44974+257196j),(-359122+333j),(-285804-103667j),(68197-323421j),(94122-288610j),(300244+92252j),(263329+117107j)
-32.089958,-0.000000,(61056-267186j),(5561-235078j),(255696+43876j),(293561+105509j),(-23770+363574j),(-62986+253331j),(-359606-24054j),(-275481-124007j),(91627-316835j),(110572-280740j),(295242+113494j),(251236+134890j)
-32.089958,-0.000000,(22068-272438j),(-27744-238259j),(261838+8069j),(302104+64041j),(29082+364237j),(-29517+260767j),(-358239+25467j),(-290774-81175j),(43404-330938j),(77729-290785j),(305350+68811j),(271878+95285j)
-32.089958,-0.000000,(59390-267488j),(4459-236564j),(256165+43249j),(293173+103150j),(-21870+362264j),(-61228+257045j),(-358719-22878j),(-278444-122108j),(90070-316017j),(110658-282290j),(294010+111453j),(253987+134132j)
-32.089958,-0.000000,(71750-264777j),(16629-233398j),(252395+53958j),(288553+117466j),(-38311+361378j),(-75357+252037j),(-356884-39225j),(-272592-135627j),(102733-312957j),(123712-277343j),(287901+124844j),(247784+145249j)
-32.089958,-0.000000,(50832-268454j),(-4391-234662j),(257164+33457j),(296925+93747j),(-9377+363477j),(-54084+256623j),(-358996-10781j),(-281556-110422j),(78913-320968j),(101157-283605j),(297347+100016j),(258957+125747j)
-32.089958,-0.000000,(59936-268732j),(8036-232757j),(253968+42517j),(296888+104784j),(-23098+363183j),(-65600+255899j),(-357880-22649j),(-279224-124943j),(91210-315768j),(109722-282022j),(295241+111440j),(252439+138506j)
-32.089958,-0.000000,(63114-267427j),(7704-232905j),(254978+44696j),(293320+106970j),(-26994+362266j),(-65528+253440j),(-358298-27657j),(-276195-124480j),(93556-315972j),(112019-278378j),(293276+112778j),(250718+138798j)
-32.089958,-0.000000,(94460-259366j),(35986-227276j),(246073+73721j),(280607+139989j),(-67920+357569j),(-94932+243836j),(-352736-66035j),(-261163-157244j),(129916-302975j),(141159-264939j),(279358+146822j),(233030+167740j)
-32.089958,-0.000000,(107176-255689j),(45438-221798j),(240737+84805j),(275565+151002j),(-81580+354363j),(-104703+241384j),(-350076-79293j),(-256048-171780j),(144397-294115j),(149921-260040j),(274318+159628j),(222541+180623j)
-32.089958,-0.000000,(126258-247782j),(62156-215795j),(232549+100734j),(265941+170053j),(-108719+347481j),(-123023+232670j),(-342487-103235j),(-242801-192381j),(167283-281388j),(165185-249785j),(262774+180273j),(207644+197436j)
-32.089958,-0.000000,(138649-240949j),(75654-210565j),(227043+114350j),(256363+185165j),(-129337+340942j),(-136503+223899j),(-335480-121251j),(-233085-207433j),(181624-270249j),(180849-241631j),(250291+193200j),(198957+211070j)
-32.089958,-0.000000,(156131-231295j),(88969-202211j),(217406+129265j),(242745+201545j),(-152610+328867j),(-150594+217707j),(-326585-145260j),(-218577-221507j),(199570-257178j),(196541-229737j),(238487+209873j),(181298+226830j)
-32.089958,-0.000000,(147076-237474j),(77844-208038j),(224910+119904j),(248995+189604j),(-136489+335513j),(-140429+221298j),(-333188-131611j),(-225652-208417j),(187910-266372j),(184498-235552j),(246874+199687j),(190851+213834j)
-32.089958,-0.000000,(111397-255965j),(51985-218997j),(237750+86080j),(276900+155318j),(-93274+352662j),(-109011+235289j),(-347160-85470j),(-253593-178686j),(152169-287804j),(149552-259794j),(274199+163459j),(216491+187649j)
-32.089958,-0.000000,(156675-235059j),(96114-196938j),(212517+129439j),(249430+201114j),(-156952+330209j),(-152009+212466j),(-324547-142514j),(-220889-230287j),(206856-253035j),(188651-226713j),(242655+211140j),(176013+233500j)
-32.089958,-0.000000,(129929-247922j),(69179-210438j),(228600+103812j),(265636+173334j),(-116648+345397j),(-125840+227817j),(-341246-106704j),(-242320-199702j),(174141-276689j),(165097-247229j),(262600+183926j),(200516+206472j)
-32.089958,-0.000000,(159633-227626j),(88601-204588j),(216800+132138j),(239270+203955j),(-154733+329715j),(-153883+213499j),(-324706-146478j),(-217159-225921j),(203235-255443j),(196314-225447j),(236573+213213j),(179242+225120j)
-32.089958,-0.000000,(222160-179354j),(148281-149007j),(160804+185853j),(179753+262325j),(-247973+266197j),(-211212+154657j),(-266311-229524j),(-142319-290831j),(275614-177756j),(243409-158427j),(168060+272194j),(94041+279051j)
-32.089958,-0.000000,(70239-267757j),(13726-225522j),(249893+48064j),(295185+111293j),(-33569+362494j),(-70838+248248j),(-355895-29070j),(-275732-133829j),(103411-309762j),(110049-275725j),(295139+119006j),(241997+147314j)
-32.089958,-0.000000,(-86752-257165j),(-117237-208982j),(239204-96167j),(306466-60062j),(162547+323968j),(75714+241980j),(-319032+161125j),(-294557+37597j),(-82895-315760j),(-48078-293713j),(309583-54132j),(279041-14302j)
-32.089958,-0.000000,(-182651-202587j),(-189062-155092j),(184178-182459j),(265129-174827j),(270922+241475j),(161822+193799j),(-237016+270921j),(-257559+144891j),(-200918-263800j),(-150022-254870j),(267002-170602j),(251701-120628j)
-32.089958,-0.000000,(-219405-170656j),(-210889-122306j),(148537-212376j),(234697-222479j),(307840+196356j),(191612+165742j),(-190208+308041j),(-231646+185943j),(-243730-230214j),(-189240-223651j),(235510-216964j),(229154-160510j)
-32.089958,-0.000000,(-236533-143184j),(-228548-97888j),(124915-231122j),(206363-245792j),(328328+159789j),(207570+146158j),(-155983+326768j),(-204969+209698j),(-271367-199923j),(-208826-201872j),(206623-242950j),(205427-188734j)
-29.999992,-0.000000,(-267116+80555j),(-244717+99869j),(-85839-256063j),(-33495-317967j),(347726-121421j),(247746-44725j),(119102+345042j),(15038+283247j),(-338918+61140j),(-282990+2001j),(-34606-315241j),(-7564-279476j)
-29.999992,-0.000000,(-129723+254554j),(-118960+253471j),(-248185-125736j),(-248588-199051j),(172294-330063j),(150530-201775j),(321488+174008j),(213620+180869j),(-203990+289452j),(-197601+187363j),(-249070-192567j),(-216789-188924j)
-29.999992,-0.000000,(123419+269705j),(109083+269985j),(-259941+111533j),(-310275+72618j),(-131052-351427j),(-51005-244597j),(341815-120566j),(272839-58320j),(89875+351454j),(12275+257915j),(-304852+74146j),(-291118+55006j)
-29.999992,-0.000000,(288747+113067j),(266770+137466j),(-113885+263376j),(-171819+274507j),(-334413-179807j),(-200517-148232j),(177538-314831j),(157556-236841j),(309133+202961j),(178527+172585j),(-166568+268418j),(-175887+249030j)
-29.999992,-0.000000,(300966-112311j),(296704-64720j),(92660+274131j),(59734+323366j),(-373393+75809j),(-245882+20012j),(-64660-350549j),(-46198-287335j),(368887-47550j),(238427+7142j),(58630+312092j),(35268+306345j)
-29.999992,-0.000000,(43971-338557j),(97618-289037j),(291542+42129j),(328910+92798j),(-128478+362353j),(-94366+224545j),(-327613-117964j),(-293836-93992j),(142927-347154j),(101546-205333j),(312223+93528j),(290693+113958j)
-29.999992,-0.000000,(-146771-322156j),(-64081-299239j),(272339-124461j),(336487-102610j),(71804+379452j),(43454+242263j),(-337050+68939j),(-310128+76230j),(-60518-370459j),(-27573-224753j),(317306-89510j),(306562-59699j)
-29.999992,-0.000000,(-280795-233131j),(-184654-244702j),(190347-237512j),(262247-245315j),(222920+316167j),(147434+202921j),(-273740+204179j),(-253631+206023j),(-217487-307531j),(-126386-186946j),(247394-221464j),(248353-189757j)
-27.953188,-0.000000,(-361848-99122j),(-264516-146958j),(70699-300949j),(136909-340334j),(329710+200407j),(225010+124582j),(-162643+297930j),(-152715+296179j),(-326612-190665j),(-194827-110809j),(130346-307433j),(146132-276522j)
-27.953188,-0.000000,(-366898+121751j),(-296517+24989j),(-117373-292820j),(-78091-362115j),(383353-13804j),(265494-23914j),(32062+336784j),(36083+337493j),(-377784+24673j),(-221188+27152j),(-68433-329775j),(-36359-306961j)
-27.953188,-0.000000,(-265011+293676j),(-239242+168891j),(-255803-195314j),(-251655-275042j),(327089-200482j),(224543-156076j),(195884+276045j),(197680+276983j),(-314571+209330j),(-170904+142602j),(-228191-249966j),(-186690-239991j)
-27.953188,-0.000000,(-42490+400987j),(-79054+276250j),(-330131+2719j),(-364524-67064j),(144373-353435j),(90787-266520j),(323955+105528j),(322780+103767j),(-124467+350973j),(-36966+227251j),(-335800-63025j),(-286783-66566j)
-27.953188,-0.000000,(153823+378563j),(69091+276727j),(-292823+166580j),(-349772+121221j),(-39933-379131j),(-46622-287453j),(335235-60021j),(333928-64604j),(62094+362505j),(86870+223977j),(-326107+108017j),(-275351+88040j)
-27.953188,-0.000000,(307729+269389j),(195363+207212j),(-184041+288550j),(-250353+270043j),(-208814-317780j),(-171808-245273j),(269344-204403j),(264965-211879j),(221764+284376j),(192555+161135j),(-236442+245061j),(-189917+211037j)
-27.953188,-0.000000,(402727-65319j),(284631-35385j),(111246+327498j),(61345+356162j),(-377439-36586j),(-309539-32365j),(12487-333107j),(-1833-344863j),(351969-3662j),(260962-53149j),(41115+331534j),(63508+277369j)
-27.953188,-0.000000,(300727-278157j),(217966-195453j),(280884+212320j),(253059+255923j),(-340572+179637j),(-288590+135779j),(-172278-281793j),(-195923-293853j),(284794-204451j),(195575-195519j),(219103+248428j),(219179+189378j)
-27.953188,-0.000000,(206755-353853j),(151667-255057j),(334759+120890j),(317864+165150j),(-278963+273429j),(-245111+206044j),(-247025-217008j),(-274517-229154j),(208820-284377j),(134193-245201j),(281897+168709j),(271988+111252j)
-27.953188,-0.000000,(33177-405937j),(21960-299254j),(357105-37170j),(354260+3408j),(-138953+371266j),(-141097+285186j),(-317477-85985j),(-348816-91893j),(60091-348135j),(16226-282802j),(322998+24562j),(295654-26733j)
-25.944477,-0.000000,(-186229-359856j),(-147939-269069j),(286013-219999j),(291593-193422j),(71270+397333j),(20270+313303j),(-315216+95623j),(-350134+103325j),(-139264-325799j),(-136367-253848j),(280528-150651j),(236413-191004j)
-25.944477,-0.000000,(-226214-335736j),(-179399-252636j),(259283-251618j),(265869-229964j),(112318+391140j),(50349+307928j),(-301836+132294j),(-338885+141695j),(-178168-307229j),(-164210-237310j),(257367-183328j),(210426-221460j)
-25.944477,-0.000000,(-369068-159224j),(-294333-116599j),(85160-349987j),(90846-340351j),(302348+278172j),(203807+234420j),(-182819+274013j),(-217360+301957j),(-317047-159274j),(-268347-116201j),(111874-289391j),(55285-307920j)
-25.944477,-0.000000,(-400373+16266j),(-321497+21717j),(-73611-350389j),(-72570-346556j),(392993+130263j),(280329+128177j),(-45242+327782j),(-74971+367600j),(-355256-6127j),(-294070+7880j),(-28720-304646j),(-86347-306717j)
-25.944477,-0.000000,(-360437+175630j),(-290529+147480j),(-203038-291185j),(-212419-288334j),(416082-24519j),(303015+7936j),(91082+322407j),(67338+371760j),(-329507+136425j),(-267011+121459j),(-151169-261645j),(-204626-255109j)
-25.944477,-0.000000,(-338774+215639j),(-274339+177418j),(-236838-265617j),(-245243-262527j),(412389-65666j),(302214-22270j),(129253+310981j),(104324+364156j),(-313270+174764j),(-250924+148363j),(-182464-238840j),(-233647-232140j)
-25.944477,-0.000000,(-329535+230920j),(-269533+187504j),(-248739-253366j),(-257621-251231j),(410291-79818j),(303632-34139j),(140991+303586j),(117836+364806j),(-304232+190650j),(-248068+156192j),(-193477-226742j),(-246225-222647j)
-25.944477,-0.000000,(-300164+267887j),(-249810+217512j),(-275898-220497j),(-288444-217463j),(398978-121460j),(297804-69757j),(174939+285634j),(159327+349397j),(-276393+224738j),(-230143+185079j),(-218472-198982j),(-273619-191544j)
-25.944477,-0.000000,(-161659+366699j),(-138104+306008j),(-339558-87049j),(-356399-73861j),(318922-269540j),(239320-183564j),(281133+191843j),(283547+255159j),(-156711+317595j),(-133649+267068j),(-282652-86033j),(-331060-62570j)
-25.944477,-0.000000,(-50972+398166j),(-44798+334434j),(-348908+15572j),(-366162+31975j),(237928-346757j),(181165-239317j),(331153+108141j),(335688+171531j),(-61843+347758j),(-49935+296129j),(-297373+2682j),(-335492+31889j)
-25.944477,-0.000000,(69863+397420j),(56531+332821j),(-325666+120881j),(-341770+143753j),(129552-400241j),(108537-283164j),(352279+3439j),(368053+73773j),(44567+351194j),(39974+296261j),(-282152+96344j),(-309273+128269j)
-25.944477,-0.000000,(188249+359666j),(152020+302373j),(-270378+213496j),(-283860+246318j),(12816-418438j),(19506-306222j),(342893-103485j),(371938-30558j),(149113+321255j),(126062+270742j),(-236215+183563j),(-260268+213894j)
-23.969479,-0.000000,(265674+309824j),(214182+261299j),(-211731+269678j),(-221092+310403j),(-73409-409605j),(-52132-306505j),(316249-177030j),(356591-106552j),(219576+278770j),(182237+237482j),(-184872+236089j),(-207330+265831j)
-23.969479,-0.000000,(363368+186957j),(299646+162150j),(-88383+329754j),(-86519+376058j),(-214368-352971j),(-164792-267995j),(234389-286023j),(287670-222245j),(308436+171199j),(260142+152645j),(-76561+291736j),(-92516+322721j)
-23.969479,-0.000000,(404712-62656j),(343051-46927j),(130183+315620j),(154159+358142j),(-374567-168623j),(-290542-124998j),(32034-376761j),(104121-334834j),(347862-48791j),(306032-24901j),(116703+280580j),(112930+314373j)
-23.969479,-0.000000,(339475-231142j),(294333-191219j),(259147+224781j),(298626+259053j),(-405781-1436j),(-322319+9304j),(-121735-362567j),(-46910-337195j),(290529-197414j),(271928-149476j),(231814+201130j),(233943+234112j)
-23.969479,-0.000000,(152332-381446j),(140519-326758j),(342962+35269j),(397070+46402j),(-334520+217459j),(-274018+191183j),(-296194-241136j),(-222239-248492j),(126712-333917j),(148446-269758j),(308711+31316j),(320057+65412j)
-23.969479,-0.000000,(30632-411014j),(36785-356182j),(340130-75013j),(396026-76399j),(-256120+303520j),(-218219+264824j),(-352966-147909j),(-281261-171805j),(20068-359332j),(64477-296782j),(305731-67318j),(321286-32334j)
-23.969479,-0.000000,(-20292-411906j),(-8593-359777j),(328899-119684j),(384798-127541j),(-217329+331197j),(-193992+289768j),(-368852-106634j),(-294945-134315j),(-27789-359787j),(26330-300515j),(294362-109218j),(310241-73851j)
-23.969479,-0.000000,(-243281-333153j),(-207155-301809j),(207856-286021j),(254550-319537j),(-6826+397249j),(-19023+350364j),(-372442+100997j),(-308375+47234j),(-220515-288875j),(-139422-264748j),(189279-256306j),(211482-225589j)
-23.969479,-0.000000,(-357074-205337j),(-316031-198020j),(72209-348459j),(104370-397025j),(149605+368322j),(116462+334784j),(-305232+235641j),(-253812+167822j),(-319290-174678j),(-231819-186595j),(68191-311957j),(95264-289089j)
-23.969479,-0.000000,(-411933-29431j),(-376714-47717j),(-86852-347571j),(-75553-405788j),(288251+270368j),(242788+265002j),(-184043+335041j),(-147941+259736j),(-365198-20265j),(-285089-72011j),(-73558-310563j),(-41558-298021j)
-22.024311,-0.000000,(-371446+183416j),(-358569+143378j),(-253030-257026j),(-268755-314875j),(383003+92455j),(341751+121648j),(-2015+378468j),(12249+295445j),(-329190+167033j),(-279714+74341j),(-219293-230350j),(-187525-232268j)
-22.024311,-0.000000,(-299343+290047j),(-304608+243960j),(-321776-167619j),(-351668-219348j),(393512-25628j),(366241+24393j),(105426+359166j),(106790+277494j),(-265352+259548j),(-242770+151439j),(-280048-151881j),(-249609-161428j)
-22.024311,-0.000000,(-182895+377412j),(-212006+332347j),(-362931-48277j),(-405908-87748j),(366332-155323j),(357422-86381j),(213433+301932j),(200963+223939j),(-164976+335704j),(-174743+219219j),(-316017-45312j),(-289545-65902j)
-22.024311,-0.000000,(-167632+387475j),(-202588+341534j),(-366448-32110j),(-409669-70865j),(362909-168500j),(356201-91121j),(222471+292820j),(211553+217685j),(-151055+343968j),(-165538+223909j),(-318719-28518j),(-292662-53647j)
-22.024311,-0.000000,(-128219+403764j),(-172051+359113j),(-369424+5173j),(-415572-29415j),(348048-201064j),(348748-115617j),(247013+269176j),(234644+198174j),(-116579+358869j),(-141451+236613j),(-320723+6657j),(-295440-23046j)
-22.024311,-0.000000,(36819+427131j),(-31128+399197j),(-341125+145572j),(-395179+131908j),(250169-318721j),(285306-230215j),(324728+156992j),(300238+91765j),(24630+379303j),(-40367+267070j),(-295382+130853j),(-279858+91075j)
-22.024311,-0.000000,(159448+401277j),(77778+395044j),(-285878+239257j),(-341595+239035j),(154401-376884j),(214030-296436j),(352918+59951j),(318213+2381j),(130013+358002j),(38011+264245j),(-246538+211811j),(-240480+166323j)
-22.024311,-0.000000,(215920+377440j),(129549+381247j),(-248444+278104j),(-304851+284001j),(102809-396518j),(174927-317989j),(354471+9952j),(320048-43824j),(177398+336678j),(77038+252169j),(-213533+247222j),(-212185+198375j)
-22.024311,-0.000000,(259885+351267j),(173129+363069j),(-213514+307988j),(-268760+319746j),(59989-406056j),(139857-332376j),(353515-29358j),(312606-81228j),(217031+313668j),(106555+239835j),(-181886+272537j),(-186273+223574j)
-22.024311,-0.000000,(31988+430566j),(-43800+397948j),(-339863+146131j),(-397407+130324j),(264181-307029j),(298281-212459j),(319587+164259j),(294053+104178j),(24198+380670j),(-44183+262501j),(-293306+137026j),(-275902+90688j)
-22.024311,-0.000000,(-301945+299019j),(-319693+240707j),(-334341-158684j),(-362142-212307j),(399005-2618j),(362524+68344j),(92914+356179j),(99587+281621j),(-258929+273662j),(-239853+146692j),(-292260-127233j),(-254760-148412j)
-22.024311,-0.000000,(-414692+67419j),(-393667+25361j),(-181356-317691j),(-182315-379111j),(328339+221240j),(270454+251802j),(-121347+354558j),(-87504+281735j),(-361584+83538j),(-289652-10763j),(-166449-268390j),(-127218-268531j)
-22.024311,-0.000000,(-397503+138110j),(-392705+81723j),(-228457-288408j),(-235282-347169j),(362635+163615j),(305092+214684j),(-64801+359736j),(-30988+301684j),(-348812+139638j),(-285305+29696j),(-207359-239063j),(-167224-246159j)
-22.024311,-0.000000,(170724+396224j),(84903+390798j),(-272749+249813j),(-333829+250910j),(149976-375539j),(208940-295673j),(350841+49679j),(313840-3093j),(147148+350061j),(46008+259691j),(-231002+225629j),(-230446+175486j)
-22.024311,-0.000000,(365319+249816j),(276080+288544j),(-94780+361902j),(-145921+392510j),(-73693-409841j),(41971-357039j),(320894-144716j),(276651-180380j),(306847+226808j),(180644+179704j),(-78021+321039j),(-95023+267849j)
-22.024311,-0.000000,(426421-133874j),(395489-30591j),(231901+297081j),(215261+357784j),(-361325-210029j),(-237742-246771j),(89720-334435j),(26407-337380j),(364199-98034j),(253724-36666j),(205936+261455j),(151792+237082j)
