# 20240820
# TI IWR6843AOPEVM
# Copper corner reflector
# Cory roof
# Range: 3 m

Azimuth,Elevation,TX1RX1,TX1RX2,TX1RX3,TX1RX4,TX2RX1,TX2RX2,TX2RX3,TX2RX4,TX3RX1,TX3RX2,TX3RX3,TX3RX4
0.000000,-51.375172,(75815-89850j),(2505+139816j),(64831-100567j),(29024+178182j),(107403+64543j),(-145237+37183j),(118371+45992j),(-187310+58335j),(100658+58630j),(-128458+37497j),(100377+47161j),(-164582+47535j)
0.000000,-51.375172,(66169-96329j),(16591+137973j),(53950-106903j),(47221+174833j),(113913+54302j),(-141079+51840j),(122608+34369j),(-180044+76949j),(106944+48378j),(-125570+50904j),(104662+35240j),(-158909+65776j)
0.000000,-51.375172,(68610-93733j),(12640+138109j),(57204-105087j),(40981+176071j),(111051+57527j),(-142302+46407j),(121725+37143j),(-182710+71765j),(104250+52148j),(-127276+46100j),(103986+38965j),(-162018+60256j)
0.000000,-51.375172,(65389-96805j),(17458+137725j),(52934-106646j),(48074+173463j),(113501+54017j),(-140445+51637j),(122243+32907j),(-179050+77813j),(106671+48212j),(-124710+50931j),(105487+35242j),(-159313+66795j)
0.000000,-51.375172,(69761-92936j),(10908+137656j),(58628-103628j),(40219+175036j),(110415+59547j),(-142188+45550j),(120232+39114j),(-182797+68695j),(104177+52726j),(-126505+45044j),(103309+40528j),(-161947+58571j)
0.000000,-51.375172,(70232-92341j),(9518+137466j),(58196-103459j),(38583+175357j),(109344+59640j),(-142769+43330j),(120614+40083j),(-183069+67667j),(103687+53362j),(-127108+43532j),(103403+41423j),(-161743+56587j)
0.000000,-51.375172,(75430-88383j),(2535+137644j),(63830-100112j),(28577+177043j),(106396+65519j),(-145806+35448j),(117802+46054j),(-186423+57705j),(101053+58966j),(-129864+37242j),(100926+46436j),(-165553+47877j)
0.000000,-51.375172,(74200-89090j),(3219+138715j),(63810-100440j),(30800+177273j),(106988+64584j),(-144481+37142j),(117183+45247j),(-185091+58940j),(101636+58357j),(-128278+37324j),(100411+46633j),(-164791+48671j)
0.000000,-51.375172,(78932-85000j),(-3785+138567j),(69086-96617j),(20291+178358j),(101646+71804j),(-145859+28159j),(115061+53028j),(-189014+47889j),(97246+64180j),(-129790+29756j),(98048+52012j),(-167765+38155j)
0.000000,-51.375172,(68201-94558j),(12446+137999j),(56049-105015j),(42226+175583j),(110772+57929j),(-142301+45454j),(120701+38379j),(-182314+70492j),(104674+51833j),(-125994+46177j),(103058+38508j),(-160779+59951j)
0.000000,-51.375172,(60004-99457j),(24576+135845j),(47427-109652j),(57023+171546j),(114238+50190j),(-137336+57322j),(123316+29861j),(-176927+83308j),(107564+43069j),(-120739+57218j),(106235+30591j),(-154882+71988j)
0.000000,-51.375172,(25204-113729j),(67551+121124j),(8437-119720j),(110284+145473j),(125673+11002j),(-114025+97363j),(128286-11488j),(-143579+135375j),(117165+5300j),(-98214+94746j),(109562-6621j),(-122558+121304j)
0.000000,-51.375172,(12328-115309j),(79659+112994j),(-4031-120750j),(126345+134046j),(125247-1846j),(-102934+109189j),(125609-24392j),(-129746+148641j),(116311-7546j),(-86453+104124j),(107139-17065j),(-108875+133234j)
0.000000,-51.375172,(14802-114894j),(78816+114177j),(-2072-119920j),(123962+135680j),(125183+309j),(-103016+105890j),(127290-20411j),(-133559+145280j),(116471-5007j),(-87681+102423j),(107774-16777j),(-110193+130807j)
0.000000,-51.375172,(-7902-115374j),(99179+97348j),(-24261-118690j),(146686+111609j),(123688-22039j),(-83980+122514j),(122077-43150j),(-106734+166476j),(113852-25607j),(-68634+118431j),(102171-36380j),(-84240+149938j)
0.000000,-51.375172,(-28877-112210j),(115023+76876j),(-47833-113004j),(167737+82836j),(117489-44647j),(-59190+136295j),(113022-64975j),(-73875+184345j),(107424-47348j),(-45680+131174j),(92534-56646j),(-53330+165750j)
1.790785,-51.375172,(-53991-103277j),(129421+49867j),(-71364-100185j),(182033+44758j),(105014-68386j),(-28582+145781j),(96227-87808j),(-32169+195757j),(94555-70658j),(-16586+138061j),(78527-77154j),(-15325+174874j)
1.790785,-51.375172,(-72445-91446j),(136391+23446j),(-90321-85977j),(188294+10347j),(90642-86826j),(-1507+148319j),(79127-104088j),(2284+199048j),(80280-86893j),(9559+139424j),(61923-91074j),(17538+175483j)
1.790785,-51.375172,(-84199-80415j),(139023+4556j),(-100830-72410j),(188070-15527j),(78850-97361j),(18253+146540j),(65159-113285j),(28326+196585j),(67151-97227j),(27866+136529j),(48376-98257j),(41861+172079j)
1.790785,-51.375172,(-90133-75022j),(138247-3830j),(-104902-66728j),(186851-27721j),(72031-101960j),(27436+145180j),(57201-116974j),(40207+194202j),(61806-101261j),(36516+134506j),(42129-101585j),(53228+169972j)
1.790785,-51.375172,(-97816-63729j),(137488-20891j),(-113331-54196j),(182726-48400j),(59744-110089j),(44191+140884j),(44487-122578j),(61336+187092j),(49445-107019j),(52012+128733j),(30665-105201j),(72484+162564j)
1.790785,-51.375172,(-104839-51935j),(134603-37408j),(-119015-39804j),(176600-70214j),(46661-115746j),(60794+134342j),(30142-127033j),(83111+179132j),(36351-112505j),(67058+122390j),(16992-108738j),(91485+153321j)
1.790785,-51.375172,(-109177-41533j),(129665-50162j),(-122741-28481j),(170705-86888j),(35198-120499j),(74095+128756j),(18579-128725j),(98605+170636j),(24681-115907j),(78860+115924j),(6065-110169j),(106782+143865j)
1.790785,-51.375172,(-108154-45347j),(131298-45449j),(-122103-33477j),(173617-80070j),(39536-118818j),(69106+130773j),(22977-127893j),(92308+173766j),(28326-115200j),(74997+118512j),(9073-110308j),(101881+147945j)
1.790785,-51.375172,(-116273-15689j),(115403-77874j),(-128129-1321j),(149313-121001j),(8173-124278j),(99540+109960j),(-9151-129575j),(132306+145226j),(-1164-118994j),(102935+97464j),(-20042-110825j),(138227+119477j)
1.790785,-51.375172,(-117346+7562j),(97637-100695j),(-126793+23175j),(123250-149084j),(-16286-123973j),(118944+87521j),(-33302-125767j),(156675+116774j),(-24721-116320j),(119708+74766j),(-42926-106340j),(162038+90687j)
1.790785,-51.375172,(-116158+17273j),(89791-108156j),(-124200+33195j),(110742-159019j),(-26144-121588j),(125785+77261j),(-43030-122324j),(165100+103224j),(-34482-114318j),(125885+64893j),(-50815-101820j),(167824+76713j)
1.790785,-51.375172,(-109521+46398j),(59080-126982j),(-114005+63917j),(69055-182076j),(-55096-111311j),(140488+43899j),(-71659-108037j),(184855+59536j),(-61916-101894j),(138586+31423j),(-75346-86302j),(182562+33627j)
1.790785,-51.375172,(-105585+52828j),(51844-130644j),(-109636+70914j),(58481-185277j),(-62696-107996j),(143082+35929j),(-78315-104017j),(187926+49291j),(-68397-98835j),(140622+23129j),(-81560-81742j),(184969+23279j)
1.790785,-51.375172,(-111554+39900j),(65753-123454j),(-117315+56448j),(80947-176966j),(-48733-113901j),(137375+50664j),(-64709-111320j),(180390+71229j),(-55311-105931j),(137225+38565j),(-70152-90745j),(181049+44376j)
1.790785,-51.375172,(-97737+66186j),(34034-135876j),(-100622+83821j),(35661-190288j),(-75298-99833j),(145850+16295j),(-89542-93256j),(192044+25181j),(-80079-89440j),(141995+4867j),(-91147-70914j),(188175+123j)
1.790785,-51.375172,(-93894+73364j),(24931-138602j),(-95064+90117j),(22429-192460j),(-81333-94203j),(146341+6610j),(-95357-87958j),(192269+13922j),(-86504-83517j),(141694-4620j),(-96551-65899j),(188525-12265j)
1.790785,-51.375172,(-83133+84806j),(4659-140383j),(-82671+101492j),(-2282-193731j),(-92881-82533j),(145308-13114j),(-106267-73812j),(192707-12359j),(-97030-72702j),(140951-22348j),(-106312-52381j),(187253-37027j)
1.790785,-51.375172,(-69200+97042j),(-16572-139504j),(-67905+112949j),(-31080-192474j),(-105120-67533j),(142069-35313j),(-115545-57002j),(188394-40685j),(-106238-56643j),(136580-43115j),(-114319-36600j),(180278-64443j)
1.790785,-51.375172,(-53472+106352j),(-38453-134929j),(-49959+121720j),(-58808-183336j),(-113723-51008j),(134765-56205j),(-122306-39297j),(179832-70266j),(-114027-38950j),(127526-63635j),(-118936-19189j),(168823-90420j)
1.790785,-51.375172,(-57074+104385j),(-33328-135807j),(-53125+121127j),(-54931-186992j),(-111992-53710j),(136929-52909j),(-121539-42502j),(181737-64858j),(-112585-42673j),(129641-60158j),(-117472-22101j),(170892-86116j)
1.790785,-51.375172,(-58118+104105j),(-32151-136764j),(-54206+120606j),(-53208-186639j),(-111592-54409j),(136408-51431j),(-121439-43358j),(182699-62894j),(-112838-43897j),(129810-58629j),(-117199-22930j),(171307-85058j)
1.790785,-51.375172,(-27413+115838j),(-67851-121362j),(-21594+130163j),(-99848-166887j),(-121299-23505j),(117119-86005j),(-127611-10647j),(159380-108049j),(-120349-12452j),(109002-90128j),(-120441+8182j),(144629-126661j)
1.790785,-51.375172,(-17236+118316j),(-79378-115929j),(-9144+132106j),(-115609-156702j),(-122199-12510j),(108825-95682j),(-128292+950j),(147621-121302j),(-121177-2741j),(99778-99759j),(-119534+19458j),(131997-139772j)
1.790785,-51.375172,(-41124+111785j),(-53941-130418j),(-34847+127957j),(-82206-176639j),(-118498-37091j),(127234-71927j),(-126466-25394j),(170026-88900j),(-118723-26832j),(119713-78218j),(-120675-4248j),(157283-110641j)
1.790785,-51.375172,(-28564+115981j),(-67075-122855j),(-21959+130985j),(-98675-168041j),(-120601-24381j),(118330-84395j),(-127692-12942j),(160290-104701j),(-120552-13878j),(110630-89943j),(-120410+7744j),(145870-125918j)
1.790785,-51.375172,(4495+119305j),(-99656-99177j),(13171+132541j),(-140717-135499j),(-123050+8344j),(91053-114373j),(-125912+21279j),(125423-143121j),(-120116+18606j),(81596-116896j),(-116663+40584j),(109441-161254j)
1.790785,-51.375172,(24234+117316j),(-115634-82399j),(33063+130189j),(-159753-112212j),(-121098+28670j),(71859-127301j),(-120991+40153j),(101338-161490j),(-115787+37282j),(62648-128555j),(-111563+58633j),(84219-177908j)
1.790785,-51.375172,(78562+92500j),(-141524-16372j),(88079+99923j),(-192028-25466j),(-94110+81688j),(3004-145886j),(-88375+89877j),(14743-188417j),(-84420+87614j),(-6326-142496j),(-75228+103266j),(-4486-197253j)
0.000000,-51.375172,(77322+95383j),(-142433-19043j),(87097+102053j),(-193360-30342j),(-95256+79965j),(5463-146461j),(-89576+88734j),(18601-187816j),(-86735+86309j),(-3546-143977j),(-77202+102072j),(186-199579j)
0.000000,-51.375172,(70361+101005j),(-142544-28661j),(78698+109106j),(-190435-45426j),(-100771+73301j),(15120-147522j),(-96393+80485j),(32554-185461j),(-94016+81042j),(6414-145385j),(-86762+97151j),(16719-199506j)
0.000000,-48.590382,(112920+59226j),(-143755+41784j),(117230+64890j),(-188407+43106j),(-57028+111942j),(-55131-140321j),(-49198+112950j),(-53304-177903j),(-48625+117139j),(-61437-135728j),(-40225+127360j),(-69306-189887j)
0.000000,-48.590382,(127692-31090j),(-83132+133060j),(130279-28606j),(-112108+156823j),(31706+124724j),(-138670-72594j),(38533+116813j),(-160268-97164j),(42676+123978j),(-140898-60903j),(48508+124971j),(-173237-102625j)
0.000000,-48.590382,(63555-120790j),(44720+157919j),(64522-117717j),(46005+188748j),(117160+60579j),(-151698+55095j),(116266+48289j),(-183224+57118j),(127065+52221j),(-146998+69282j),(125736+48927j),(-191290+59741j)
0.000000,-48.590382,(54355-126840j),(59330+155163j),(54664-124142j),(62502+183932j),(123849+51037j),(-149288+68708j),(121685+38962j),(-179549+73360j),(133370+43525j),(-144272+82399j),(130310+40846j),(-187916+75400j)
0.000000,-48.590382,(-63369-127676j),(157951+58924j),(-61731-122106j),(183907+67318j),(122737-63563j),(-46582+160916j),(111868-71277j),(-62500+189131j),(124180-77179j),(-32730+173419j),(116686-73594j),(-62720+193439j)
0.000000,-48.590382,(-102239-101113j),(169574+4091j),(-98949-95204j),(197149+1529j),(97529-100688j),(7673+169129j),(83675-104512j),(2338+201050j),(96460-116333j),(23433+180009j),(88656-107592j),(4695+204680j)
