# 20240820
# TI IWR6843AOPEVM
# Copper corner reflector
# Cory roof
# Range: 3 m

Azimuth,Elevation,TX1RX1,TX1RX2,TX1RX3,TX1RX4,TX2RX1,TX2RX2,TX2RX3,TX2RX4,TX3RX1,TX3RX2,TX3RX3,TX3RX4
0.000000,10.806922,(-380191+190289j),(-217487+465462j),(-341590+203642j),(-166723+390905j),(-366661-325202j),(-468447-27470j),(-374584-259721j),(-375153-83430j),(-375210-296660j),(-411139-62417j),(-337381-240751j),(-384201-21030j)
0.000000,10.806922,(-186714-362062j),(-485865-151389j),(-203947-327830j),(-377269-123858j),(292894-371270j),(-22951-468386j),(218336-360219j),(51899-421691j),(249238-364757j),(30280-452763j),(219301-332527j),(-13544-374550j)
0.000000,10.806922,(410940+22853j),(324720-368305j),(388185-18821j),(282376-256210j),(208068+426570j),(409460+180920j),(207383+340382j),(387803+218993j),(190960+370193j),(430477+212294j),(194315+339451j),(331205+159561j)
0.000000,10.806922,(-145481+409051j),(274920+377814j),(-87867+387210j),(173338+349198j),(-460620+107122j),(-288230+354399j),(-379441+105240j),(-284099+344194j),(-407830+81450j),(-290592+393219j),(-371561+106351j),(-250756+290007j)
0.000000,10.806922,(-184812+387181j),(235712+398249j),(-126250+369881j),(137851+359384j),(-465067+57894j),(-316494+314585j),(-383768+66915j),(-313411+303730j),(-408254+41129j),(-324977+356889j),(-373606+69904j),(-277881+259490j)
0.000000,10.806922,(-306627+313580j),(83648+450547j),(-243599+315042j),(2879+389038j),(-454910-94145j),(-416417+202908j),(-382010-67054j),(-398010+199196j),(-403826-100177j),(-422137+236569j),(-380490-59266j),(-346843+158746j)
0.000000,10.806922,(-434095+79554j),(-184478+405736j),(-381952+112304j),(-221472+324082j),(-315500-333357j),(-460785-68556j),(-269787-279026j),(-433931-54389j),(-265196-316813j),(-481053-35312j),(-269586-265832j),(-382320-65228j)
0.000000,10.806922,(-365531+240559j),(-17154+454538j),(-304477+251201j),(-82308+382877j),(-421446-185950j),(-451064+114967j),(-357218-149100j),(-425966+115015j),(-368846-185526j),(-460476+146889j),(-353680-140360j),(-372636+84543j)
0.000000,10.806922,(-160225+401472j),(247050+394966j),(-106854+380125j),(145022+361383j),(-458078+88509j),(-302475+349801j),(-378115+84776j),(-295654+335868j),(-412463+61862j),(-305439+374412j),(-378061+85694j),(-256583+273007j)
0.000000,10.806922,(-302088+315486j),(75139+444439j),(-250155+309896j),(-9263+383544j),(-450906-82625j),(-414210+224317j),(-378436-72537j),(-390504+211729j),(-408406-103845j),(-413701+232713j),(-381763-71798j),(-335842+149989j)
0.000000,10.806922,(-403805+168834j),(-123000+419088j),(-359673+176392j),(-180135+334683j),(-370620-252473j),(-481774+56811j),(-308284-231116j),(-437230+49357j),(-334637-267869j),(-459591+39537j),(-313201-232497j),(-359371-9301j)
-1.790785,10.806922,(-271390-340780j),(-412742-26068j),(-252578-299726j),(-376600-100569j),(145889-410850j),(-224286-433159j),(159812-362124j),(-177249-373744j),(171412-388590j),(-164227-419078j),(156425-353113j),(-77664-351640j)
-1.790785,10.806922,(110665-421642j),(-209530-355811j),(102147-374540j),(-147536-373633j),(427291-126889j),(174123-446103j),(403970-92508j),(175746-354888j),(418561-90168j),(232879-381353j),(384886-74112j),(245186-271315j)
-1.790785,10.806922,(319623-290928j),(29764-415219j),(293996-247889j),(78777-394441j),(438121+128213j),(363548-286528j),(398140+143210j),(328097-194965j),(401024+155810j),(397085-188970j),(364633+154349j),(356782-84335j)
-1.790785,10.806922,(427358-15989j),(299929-298948j),(383728+15411j),(313016-247136j),(267518+387249j),(443459-2423j),(221682+371767j),(365038+60392j),(207390+381723j),(416141+110533j),(172558+355677j),(327721+173713j)
-1.790785,10.806922,(344817+243446j),(427923-61702j),(289667+257677j),(390870-4310j),(39+484015j),(348569+246453j),(-41250+438353j),(244364+264219j),(-64602+432168j),(257693+336271j),(-86130+385953j),(151314+341657j)
-1.790785,10.806922,(235987+343826j),(432089+81373j),(175652+348471j),(362626+141109j),(-149436+468824j),(242999+341320j),(-184967+404548j),(135566+332670j),(-205542+384551j),(119375+408206j),(-222349+326033j),(18094+371872j)
-3.583322,10.806922,(-55657+411645j),(273326+334125j),(-109954+380200j),(162779+349223j),(-412569+276612j),(-37647+405397j),(-408226+189360j),(-123759+334601j),(-404478+153962j),(-181100+380723j),(-383943+82179j),(-237193+287810j)
-3.583322,10.806922,(-318440+272733j),(-8793+418630j),(-343480+208439j),(-121551+368407j),(-499624-35310j),(-283624+280457j),(-441994-116572j),(-317706+171238j),(-404691-145234j),(-383285+169273j),(-338211-204214j),(-368845+55437j)
-3.583322,10.806922,(-425087+2977j),(-265266+296742j),(-397263-68215j),(-341236+198832j),(-381297-330089j),(-382719+38378j),(-276400-368579j),(-357827-71273j),(-218193-365085j),(-397020-107611j),(-120097-378378j),(-313888-199900j)
-3.583322,10.806922,(-402279-154005j),(-353246+166457j),(-339194-215503j),(-403574+55066j),(-257519-437192j),(-365841-99839j),(-135083-442966j),(-316072-196336j),(-71037-415359j),(-328312-239904j),(33347-396257j),(-214434-307690j)
-3.583322,10.806922,(-282158-328832j),(-380481-36378j),(-181570-352570j),(-386311-146983j),(-39193-504375j),(-265400-263771j),(83200-450823j),(-187674-325631j),(136468-393775j),(-168986-355650j),(222162-327367j),(-31883-375966j)
-5.379379,10.806922,(283415-335869j),(20379-382073j),(338448-207775j),(88755-396570j),(479968-147270j),(235392-295713j),(454477+5293j),(291833-237269j),(407756+80699j),(313299-193101j),(345227+185035j),(377036-91412j)
-12.635624,5.379379,(-287458+344458j),(-206131+391852j),(-403586+29781j),(-388015+193168j),(48142+386750j),(185704+309206j),(-255978+291820j),(-34885+323111j),(-392897+167810j),(-265819+156574j),(-349631-149896j),(-325593-14700j)
-12.635624,5.379379,(-225682+392710j),(-149545+415918j),(-391683+103899j),(-355185+253962j),(108293+370664j),(228447+289108j),(-201947+322632j),(20864+328218j),(-358478+229120j),(-225936+202734j),(-373472-82516j),(-319021+44933j)
-12.635624,5.379379,(-54309+456307j),(4186+439010j),(-315976+255659j),(-235076+369246j),(240787+295736j),(320979+199840j),(-59510+365063j),(149443+306088j),(-241434+343001j),(-113743+276698j),(-377591+74241j),(-263927+167869j)
-12.635624,5.379379,(26946+464791j),(61963+427869j),(-262494+314406j),(-173931+403031j),(285343+250753j),(345255+162681j),(7437+360686j),(201296+287399j),(-176112+374525j),(-55559+293050j),(-356696+146458j),(-220113+212204j)
-10.806922,3.583322,(289024+374055j),(274655+319923j),(-28347+413650j),(78911+432261j),(375272+48532j),(386310-37209j),(208436+285194j),(337808+140656j),(64797+400273j),(129661+270099j),(-208917+324383j),(-50732+298613j)
-10.806922,3.583322,(402643+256401j),(355827+203948j),(126424+400898j),(220195+379143j),(371365-80931j),(359295-149881j),(294456+192655j),(373093+26415j),(193720+344607j),(224514+208412j),(-81464+375469j),(63445+296838j)
-10.806922,3.583322,(447417-175974j),(347647-165821j),(413079+120382j),(426596+43299j),(155621-354004j),(110235-368297j),(327361-138543j),(263267-279869j),(379452+38351j),(305282-77056j),(257057+283347j),(285453+100638j)
-10.806922,3.583322,(130081-463826j),(49377-360095j),(344120-278112j),(281428-309733j),(-190127-350570j),(-212014-312352j),(78570-358725j),(-42892-389598j),(245330-280124j),(113140-309634j),(377369-44215j),(242135-190455j)
-10.806922,3.583322,(-108347-465071j),(-146006-321543j),(160314-419425j),(90925-397336j),(-336266-225306j),(-326382-176344j),(-109998-357550j),(-215765-334370j),(71899-363220j),(-59213-332155j),(303377-229545j),(109119-292908j)
