# 20240818
# TI IWR6843AOPEVM
# Copper corner reflector
# Range: 3 m

Azimuth,Elevation,TX1RX1,TX1RX2,TX1RX3,TX1RX4,TX2RX1,TX2RX2,TX2RX3,TX2RX4,TX3RX1,TX3RX2,TX3RX3,TX3RX4
0.000000,-38.682198,(88595-200080j),(171262+194236j),(89780-144350j),(129460+220613j),(58375+220727j),(-268026-46461j),(20194+178912j),(-261362-95064j),(76967+218079j),(-278929-15544j),(40991+181809j),(-270579-70772j)
0.000000,-38.682198,(78924-203475j),(179351+185331j),(82308-148354j),(140195+214477j),(69535+217153j),(-269424-33177j),(27969+177172j),(-264297-81524j),(86961+212895j),(-279010-1121j),(49430+178347j),(-272046-56346j)
0.000000,-38.682198,(72245-204587j),(184146+179187j),(77134-150129j),(146190+208674j),(75790+214861j),(-269187-23972j),(34149+175396j),(-266471-73516j),(93701+209732j),(-277546+7784j),(55883+177272j),(-274535-47892j)
0.000000,-38.682198,(59054-209496j),(195970+166984j),(66983-154598j),(159608+199065j),(89723+208310j),(-271833-6578j),(44656+172827j),(-270112-55620j),(105803+203242j),(-276215+25836j),(66899+172362j),(-276274-29210j)
0.000000,-38.682198,(70261-206066j),(187223+176313j),(73609-150923j),(150510+206016j),(78905+211745j),(-268973-21222j),(35053+175143j),(-266299-70010j),(94747+208746j),(-276729+9955j),(58365+176150j),(-273326-44846j)
0.000000,-38.682198,(61555-208525j),(193025+170023j),(67644-152905j),(157458+199636j),(86873+209036j),(-270236-10564j),(41973+173447j),(-269659-59132j),(102985+204072j),(-276068+21335j),(65175+173622j),(-275953-33821j)
0.000000,-38.682198,(66727-206149j),(189226+173334j),(71443-152248j),(153300+203445j),(82156+210969j),(-269704-15666j),(38051+174187j),(-267853-65328j),(98018+206766j),(-276849+15995j),(61125+174574j),(-273824-39265j)
0.000000,-38.682198,(73443-203862j),(183405+178738j),(75888-149739j),(145837+208691j),(75748+212646j),(-267756-23899j),(32419+175062j),(-263879-73441j),(91084+208278j),(-275219+6634j),(56368+176318j),(-272472-47709j)
0.000000,-38.682198,(77576-202388j),(179490+182907j),(79063-147982j),(141998+211593j),(70198+213860j),(-267471-30647j),(27990+176458j),(-262507-79966j),(87011+211262j),(-275522+105j),(51941+177598j),(-272217-54210j)
0.000000,-38.682198,(57396-208974j),(196353+165197j),(64493-154667j),(161367+196836j),(89671+206476j),(-270172-5576j),(45001+173246j),(-268941-54719j),(107066+201639j),(-274845+26699j),(68646+172277j),(-275489-28155j)
