# 20240818
# TI IWR6843AOPEVM
# Copper corner reflector
# Hearst Mining Circle
# Range: 3 m

Azimuth,Elevation,TX1RX1,TX1RX2,TX1RX3,TX1RX4,TX2RX1,TX2RX2,TX2RX3,TX2RX4,TX3RX1,TX3RX2,TX3RX3,TX3RX4
1.790785,-36.423580,(38575-224171j),(272387+125180j),(67255-181097j),(197079+208147j),(33156+222091j),(-303321-31256j),(-8449+195766j),(-262658-132482j),(106229+206137j),(-303899+86395j),(68344+203430j),(-310858-34633j)
1.790785,-36.423580,(2710-227121j),(288969+81345j),(37211-190366j),(227745+173367j),(67708+213680j),(-302577+15221j),(23439+195580j),(-279894-86982j),(137111+186026j),(-286264+133425j),(100332+189093j),(-310284+17271j)
1.790785,-36.423580,(-197263-111876j),(209963-213033j),(-152305-120861j),(258443-121915j),(217384+42804j),(-132137+270747j),(184194+69266j),(-208459+207504j),(228716-33256j),(-17632+318041j),(210606-3145j),(-125385+280599j)
1.790785,-36.423580,(-225702+31557j),(37238-298228j),(-196660-2064j),(131647-256792j),(200061-96579j),(57490+297051j),(190508-55640j),(-41668+294083j),(163363-165365j),(178019+267409j),(168175-130370j),(68979+302941j)
1.790785,-36.423580,(-215173+73117j),(-20696-298931j),(-193832+37275j),(77646-277971j),(176600-133416j),(113270+280054j),(176599-92575j),(16997+296108j),(127816-192706j),(226859+228058j),(138768-161027j),(127839+283170j)
1.790785,-36.423580,(-221292+52808j),(7583-299201j),(-195831+17486j),(105056-268492j),(188505-115150j),(86854+289840j),(184200-73803j),(-12249+295489j),(146409-179937j),(203762+246955j),(153686-146948j),(98661+295277j)
1.790785,-36.423580,(-212986+81310j),(-31718-298559j),(-191741+42356j),(69612-280224j),(172903-138044j),(121533+276092j),(173667-97439j),(24812+294618j),(123011-198007j),(233120+220634j),(133709-164989j),(134713+281200j)
1.790785,-36.423580,(-179663+139185j),(-117376-274440j),(-171848+95441j),(-12990-288464j),(126577-181095j),(196081+228842j),(137994-142024j),(106868+275363j),(61913-223517j),(285027+144296j),(83130-196824j),(208816+233159j)
1.790785,-36.423580,(-116734+193883j),(-207747-213141j),(-126597+151356j),(-116282-265006j),(53337-213301j),(262794+142568j),(78452-181313j),(197727+219257j),(-22730-229789j),(317730+33022j),(6410-214617j),(280044+141463j)
1.790785,-36.423580,(-42527+222504j),(-268896-127812j),(-66347+186738j),(-203198-208028j),(-23191-218835j),(295162+43947j),(9973-197379j),(262802+137586j),(-101643-207613j),(309368-81174j),(-69385-202695j),(312487+35156j)
1.790785,-36.423580,(45504+223688j),(-297513-15060j),(11212+197794j),(-269904-114393j),(-104099-191934j),(288706-71354j),(-65554-187569j),(295571+28625j),(-172060-154914j),(258605-191943j),(-141067-161713j),(304025-85846j)
1.790785,-36.423580,(165887+156506j),(-250767+160201j),(125520+154728j),(-286850+63831j),(-195091-96224j),(196076-224033j),(-160834-115963j),(256666-147192j),(-230492-28581j),(101683-305903j),(-209819-51450j),(200560-244199j)
1.790785,-36.423580,(227085+15113j),(-90175+284535j),(196874+38817j),(-181605+234161j),(-210984+48929j),(9052-296511j),(-197968+11734j),(104845-276002j),(-197237+123259j),(-113766-304726j),(-197688+92490j),(2730-319310j)
1.790785,-36.423580,(164086-153133j),(145646+257170j),(165096-114680j),(42996+291407j),(-110092+184292j),(-204676-208119j),(-128046+149103j),(-123579-266595j),(-48750+226100j),(-295503-129910j),(-72554+205609j),(-226054-224368j)
1.790785,-36.423580,(-214504-62792j),(144728-257413j),(-181989-86448j),(230945-183420j),(210653+3549j),(-75166+278283j),(191569+38882j),(-170904+236205j),(219850-67302j),(33473+323015j),(216536-38069j),(-87104+306449j)
1.790785,-36.423580,(-33751+224891j),(-283441-110721j),(-65482+194418j),(-212922-208088j),(-21394-211631j),(288551+41034j),(17462-196008j),(254070+146021j),(-93530-214452j),(322978-68896j),(-57620-214531j),(317915+56959j)
1.790785,-36.423580,(145891+178253j),(-274797+137603j),(100994+178866j),(-298639+18133j),(-170420-126761j),(225696-186427j),(-131355-146481j),(278059-86341j),(-220457-79273j),(171347-283796j),(-197320-104092j),(258332-192360j)
0.000000,-34.228870,(231346-15727j),(-49285+309734j),(206350+22487j),(-158285+254174j),(-201962+64169j),(-20026-294284j),(-194798+18555j),(92020-273363j),(-194453+128193j),(-126680-307216j),(-202812+95759j),(838-321830j)
0.000000,-34.228870,(4544-235806j),(310019+79968j),(44154-204862j),(239073+181258j),(43515+209052j),(-297044-10034j),(-571+195100j),(-261360-119739j),(106669+206913j),(-322758+91810j),(69658+212659j),(-317187-37281j)
0.000000,-34.228870,(-243372-7581j),(86079-320549j),(-207068-44902j),(182821-241204j),(212954-41035j),(-13723+307456j),(197376+3502j),(-123672+258916j),(212307-103039j),(85112+328918j),(214450-60306j),(-48434+313744j)
0.000000,-34.228870,(29280+246635j),(-336798-41719j),(-13579+216992j),(-270256-144942j),(-72317-210978j),(315920-26838j),(-23468-198786j),(275044+84417j),(-129644-197804j),(318804-128103j),(-88524-205246j),(314461+6265j)
0.000000,-34.228870,(242735+72173j),(-171360+295289j),(197713+97262j),(-237576+198094j),(-228513-18195j),(104625-306606j),(-196432-57918j),(186614-224589j),(-235014+40358j),(9974-348627j),(-223871-836j),(127782-284134j)
0.000000,-34.228870,(73437-240936j),(291916+172621j),(99187-196795j),(196095+236113j),(-25105+231565j),(-307278-114428j),(-62809+197312j),(-221914-189129j),(36681+234991j),(-348057-19898j),(-5249+221088j),(-277484-128372j)
0.000000,-34.228870,(-249255-34659j),(121791-313526j),(-209993-65723j),(197621-231126j),(235927-7485j),(-71074+320731j),(207640+32313j),(-153344+251044j),(228410-70764j),(29351+348061j),(219711-28796j),(-80529+291260j)
0.000000,-34.228870,(80654+237841j),(-331803+34359j),(34738+218268j),(-294387-69429j),(-109396-211518j),(320549-74337j),(-60760-205756j),(295179+28885j),(-164236-178471j),(303943-172969j),(-122858-185871j),(297191-60860j)
1.790785,-34.228870,(102587+229652j),(-329845+64515j),(54480+215420j),(-298998-41227j),(-127061-204988j),(317448-100559j),(-77273-202009j),(298164+3713j),(-178485-165514j),(290526-197842j),(-138804-175812j),(293597-87084j)
1.790785,-34.228870,(233707+93525j),(-191602+273968j),(189607+115638j),(-241075+182068j),(-235856-64680j),(162678-290830j),(-196594-94540j),(219788-206775j),(-245721+2133j),(79029-342225j),(-222760-32450j),(150633-265596j)
1.790785,-34.228870,(-150302+199232j),(-203081-246578j),(-161187+151671j),(-108642-272258j),(121721-212575j),(233794+227861j),(138988-175411j),(152033+273532j),(53169-243356j),(303973+154780j),(79138-214738j),(234804+209719j)
1.790785,-34.228870,(64818+241431j),(-319494+9931j),(22598+218885j),(-277862-76416j),(-89212-229820j),(327308-41684j),(-48637-221098j),(307674+51505j),(-156215-195565j),(307836-139205j),(-118962-195399j),(308591-53482j)
1.790785,-34.228870,(252586+3520j),(-78135+312672j),(215545+38183j),(-142983+248365j),(-249784+15760j),(57745-329157j),(-228593-20444j),(139201-280829j),(-235084+89516j),(-42676-332774j),(-224970+56130j),(39825-313922j)
1.790785,-34.228870,(-214527-125176j),(212876-228723j),(-168931-133608j),(236162-154051j),(222690+117681j),(-217088+251881j),(181866+134510j),(-258087+171556j),(241257+43841j),(-122736+298351j),(221210+69993j),(-191982+248234j)
1.790785,-34.228870,(-183407+181793j),(-174769-271434j),(-179638+136317j),(-98059-278623j),(186943-185513j),(185422+293053j),(192180-142763j),(98673+310733j),(117850-226370j),(263278+206654j),(138326-199315j),(189826+264756j)
1.790785,-32.089958,(31581+257323j),(-320419-24439j),(-90+227781j),(-285772-88242j),(-24180-265707j),(347190+41049j),(12045-244046j),(310121+118320j),(-101912-234016j),(327705-80591j),(-67465-233774j),(325384+16928j)
1.790785,-32.089958,(222057+132755j),(-209798+237508j),(183321+141150j),(-246439+176627j),(-221749-153023j),(251446-243487j),(-184987-165863j),(294379-168839j),(-247329-68145j),(141314-308601j),(-224839-95911j),(215623-244032j)
1.790785,-32.089958,(246425-77515j),(43620+312675j),(228326-44169j),(-29457+302370j),(-265380+56266j),(-7626-352370j),(-250283+19346j),(77684-333931j),(-218292+136077j),(-135224-315386j),(-224397+99647j),(-34130-325323j)
1.790785,-32.089958,(149445-209397j),(225402+219208j),(157581-172454j),(160657+258544j),(-184755+199338j),(-212059-280949j),(-194490+162084j),(-132098-319174j),(-96529+238491j),(-298296-175639j),(-123414+212078j),(-220548-240691j)
1.790785,-32.089958,(-29763-254246j),(313881+7491j),(4166-233973j),(290755+82190j),(-12779+273114j),(-344834-72670j),(-44022+251551j),(-311057-160179j),(82418+246647j),(-342919+61537j),(43087+242995j),(-325557-36129j)
