# 20240820
# TI IWR6843AOPEVM
# Copper corner reflector
# Cory roof
# Range: 3 m

Azimuth,Elevation,TX1RX1,TX1RX2,TX1RX3,TX1RX4,TX2RX1,TX2RX2,TX2RX3,TX2RX4,TX3RX1,TX3RX2,TX3RX3,TX3RX4
7.180755,-1.790785,(-260915+294324j),(-282664+293039j),(-60657+420570j),(-189597+302979j),(-373005+110084j),(-333258+54273j),(-262525+309861j),(-283967+119202j),(-243280+286404j),(-237543+236806j),(-40320+387063j),(-162474+277296j)
7.180755,-1.790785,(-260565+292645j),(-282211+291169j),(-62292+419024j),(-189549+301755j),(-372382+109117j),(-332741+53658j),(-263052+308670j),(-282994+117842j),(-242470+285603j),(-237745+235501j),(-42108+386003j),(-163150+276682j)
5.379379,-1.790785,(249346-335006j),(290458-296819j),(45917-439663j),(181643-323752j),(328480-125284j),(309024-128341j),(209588-292588j),(249126-196735j),(199304-273956j),(193085-267756j),(6537-337550j),(96736-324403j)
7.180755,-1.790785,(-292458+257926j),(-314973+256485j),(-111439+408140j),(-223801+275676j),(-382401+65986j),(-338159+13376j),(-296334+276004j),(-295469+83359j),(-273047+255375j),(-265857+205970j),(-85165+377281j),(-194256+255303j)
7.180755,-1.790785,(-325307+210903j),(-349147+207566j),(-170325+386124j),(-261977+238961j),(-386875+9866j),(-339212-38104j),(-333045+229731j),(-304508+37900j),(-306530+212853j),(-295787+164504j),(-139713+360638j),(-229827+222593j)
7.180755,-1.790785,(-366014+124877j),(-389810+121667j),(-258689+333918j),(-311738+169526j),(-378470-79424j),(-324837-119762j),(-378332+145084j),(-306482-35544j),(-345922+133810j),(-330838+89567j),(-221062+316372j),(-276233+160998j)
7.180755,-1.790785,(-312030+231807j),(-332970+229571j),(-144490+396819j),(-245355+255785j),(-384715+36082j),(-339340-14527j),(-316100+251116j),(-300401+59128j),(-291860+231497j),(-282588+183868j),(-115182+367905j),(-214219+237677j)
7.180755,-1.790785,(-247800+301743j),(-269540+299574j),(-44680+418883j),(-176333+307005j),(-365756+124517j),(-328548+66333j),(-248019+317345j),(-276284+129433j),(-229449+293774j),(-226213+244087j),(-24662+384855j),(-151360+282232j)
7.180755,-1.790785,(-254133+296245j),(-275696+293119j),(-54214+417501j),(-183413+302830j),(-368170+115554j),(-330018+58856j),(-254547+311144j),(-278392+122352j),(-235809+288578j),(-232026+238664j),(-33667+384123j),(-157089+278098j)
7.180755,-1.790785,(-318387+222061j),(-340452+219273j),(-156315+390466j),(-253008+248196j),(-385175+23986j),(-337014-25108j),(-323867+239475j),(-300994+49324j),(-298013+221811j),(-286239+173961j),(-126761+364066j),(-221090+229958j)
7.180755,-1.790785,(-288226+259548j),(-310356+257001j),(-106433+406611j),(-220522+277200j),(-378952+69870j),(-335112+17137j),(-291902+276832j),(-291512+86251j),(-269039+255841j),(-261237+207286j),(-81289+376324j),(-190913+256011j)
5.379379,-1.790785,(-71216-413702j),(-14402-405987j),(-282849-330474j),(-117785-352847j),(130270-319777j),(108952-314231j),(-71171-344970j),(21827-320218j),(-59142-328816j),(-73166-314622j),(-246011-230657j),(-169135-303208j)
5.379379,-1.790785,(-340412-254569j),(-289801-281004j),(-434045-39621j),(-339318-173120j),(-126295-319569j),(-145589-303318j),(-292764-196802j),(-209995-248403j),(-268048-195497j),(-281605-168350j),(-342475+8386j),(-336253-112566j)
5.379379,-1.790785,(-352418-237767j),(-302648-265387j),(-433930-17966j),(-347398-156533j),(-141517-313413j),(-158994-296484j),(-302142-182655j),(-221963-238950j),(-276438-182103j),(-288727-152605j),(-341946+24732j),(-340121-95688j)
5.379379,-1.790785,(-315261-285554j),(-262863-307430j),(-427770-81624j),(-319844-203842j),(-95438-331326j),(-114786-315051j),(-272350-224221j),(-185385-267129j),(-248475-220540j),(-262261-194174j),(-341011-25044j),(-324342-141586j)
5.379379,-1.790785,(-305717-295199j),(-251438-316294j),(-424563-95893j),(-312392-214624j),(-84145-333626j),(-103219-319957j),(-264956-232949j),(-176912-274082j),(-240750-229923j),(-255549-202771j),(-340718-37759j),(-317685-151061j)
7.180755,-1.790785,(240891+292526j),(256820+308337j),(397573+118848j),(268057+222734j),(55005+370979j),(-691+351327j),(261983+298109j),(68932+302152j),(241220+268382j),(204829+279494j),(366563+94085j),(245180+200568j)
5.379379,-1.790785,(-35505+383820j),(-4700+363409j),(213496+360528j),(34926+336986j),(-167693+271051j),(-197890+334025j),(24642+353852j),(-134802+319740j),(-9632+333189j),(19573+350683j),(196138+300679j),(68126+303364j)
5.379379,-1.790785,(329724+207499j),(342058+166369j),(424530-28839j),(325289+112542j),(183115+280243j),(200658+342894j),(346193+140466j),(215520+271642j),(301560+154910j),(335587+155659j),(362655-46984j),(313044+80402j)
5.379379,-1.790785,(244728+292133j),(267444+256523j),(404695+99946j),(267801+204040j),(85085+315170j),(85275+381112j),(278887+233697j),(120007+320995j),(233746+234065j),(267154+243616j),(350623+65224j),(268808+168215j)
5.379379,-1.790785,(293348+268642j),(312652+230866j),(432237+48316j),(307832+174594j),(134080+314490j),(141315+382126j),(322930+203116j),(169587+313160j),(275392+209588j),(309617+216956j),(372765+16949j),(301804+139031j)
5.379379,-1.790785,(-113924+366138j),(-78217+353835j),(134722+394578j),(-33968+334555j),(-222913+225636j),(-255238+283463j),(-49464+347367j),(-198821+287723j),(-77701+323429j),(-56837+345689j),(127477+333627j),(6495+308870j)
