# z = -cosh(0.5 * x) + 1

Main lobe width [rad],Sidelobe level [dB],x1,x2,x3,x4
0.0872664626,0.148449798,2.20167426,4.97292007,-4.95011178,-2.25498269
0.104719755,0.0773293982,2.26722878,4.9265727,-2.10811781,-4.71073366
0.122173048,0.0570832538,4.52107638,2.39641026,-2.33334901,-4.4065078
0.244346095,0.0482821092,3.03292754,3.69191486,-3.57397207,-2.81645062
0.261799388,-0.278157163,3.48507533,-2.88704722,-3.46191999,2.9077553
0.27925268,-0.328928558,2.98043148,-3.00384452,2.40757293,-2.38723686
0.610865238,-0.453996849,0.88987796,-0.41436479,-0.97823261,0.25140639
0.628318531,-0.964200137,0.78689402,0.21409351,-0.95346128,-0.50775046
0.645771823,-1.48910049,0.73603778,0.23294357,-1.00276409,-0.46206381
0.680678408,-1.65425285,0.37077459,0.7867919,-0.24999081,-0.77826594
0.698131701,-2.29203591,-0.20306787,0.38529655,0.85510904,-0.68969741
0.715584993,-3.17017132,-0.7711853,-0.33293434,0.18724514,0.72581054
0.733038286,-3.49292814,0.00742312,0.99483269,0.52225128,-0.53789413
0.767944871,-3.56820863,-0.56702704,-0.07789761,-1.06104534,0.43474675
0.785398163,-3.8877883,0.7418996,-0.59943127,-0.12692168,0.32142225
0.855211333,-4.65301083,0.78541583,-0.47693485,-0.02595757,0.36523672
0.907571211,-4.71409975,0.20940091,-0.14715657,0.6107796,-0.50457644
0.925024504,-5.71947502,-0.24266197,0.07161066,0.49046397,-0.60850143
1.01229097,-7.75695424,0.47784948,-0.12899973,0.13474846,-0.50053254
1.04719755,-8.27161103,0.4303754,0.07156276,-0.16669518,-0.49959232
1.09955743,-9.56989657,-0.35222456,0.19608497,-0.02528937,0.53116834
1.13446401,-11.6366031,-0.35476627,0.16874896,-0.02322228,0.50878685
1.15191731,-15.1592074,-0.36465817,0.1285767,-0.02197524,0.47530483
1.18682389,-19.4443286,-0.04094065,0.33411683,-0.12766532,-0.51133577
1.20427718,-28.9983004,-0.06763741,0.31593195,-0.13887494,-0.51144355
1.22173048,-100.0,-0.1477779,0.28233547,-0.13327533,-0.54997082
