Phi[deg],Theta[deg],dB(GainTotal)
-90,-180,-10.4448
-88,-180,-10.4448
-86,-180,-10.4448
-84,-180,-10.4448
-82,-180,-10.4448
-80,-180,-10.4448
-78,-180,-10.4448
-76,-180,-10.4448
-74,-180,-10.4448
-72,-180,-10.4448
-70,-180,-10.4448
-68,-180,-10.4448
-66,-180,-10.4448
-64,-180,-10.4448
-62,-180,-10.4448
-60,-180,-10.4448
-58,-180,-10.4448
-56,-180,-10.4448
-54,-180,-10.4448
-52,-180,-10.4448
-50,-180,-10.4448
-48,-180,-10.4448
-46,-180,-10.4448
-44,-180,-10.4448
-42,-180,-10.4448
-40,-180,-10.4448
-38,-180,-10.4448
-36,-180,-10.4448
-34,-180,-10.4448
-32,-180,-10.4448
-30,-180,-10.4448
-28,-180,-10.4448
-26,-180,-10.4448
-24,-180,-10.4448
-22,-180,-10.4448
-20,-180,-10.4448
-18,-180,-10.4448
-16,-180,-10.4448
-14,-180,-10.4448
-12,-180,-10.4448
-10,-180,-10.4448
-8,-180,-10.4448
-6,-180,-10.4448
-4,-180,-10.4448
-2,-180,-10.4448
0,-180,-10.4448
2,-180,-10.4448
4,-180,-10.4448
6,-180,-10.4448
8,-180,-10.4448
10,-180,-10.4448
12,-180,-10.4448
14,-180,-10.4448
16,-180,-10.4448
18,-180,-10.4448
20,-180,-10.4448
22,-180,-10.4448
24,-180,-10.4448
26,-180,-10.4448
28,-180,-10.4448
30,-180,-10.4448
32,-180,-10.4448
34,-180,-10.4448
36,-180,-10.4448
38,-180,-10.4448
40,-180,-10.4448
42,-180,-10.4448
44,-180,-10.4448
46,-180,-10.4448
48,-180,-10.4448
50,-180,-10.4448
52,-180,-10.4448
54,-180,-10.4448
56,-180,-10.4448
58,-180,-10.4448
60,-180,-10.4448
62,-180,-10.4448
64,-180,-10.4448
66,-180,-10.4448
68,-180,-10.4448
70,-180,-10.4448
72,-180,-10.4448
74,-180,-10.4448
76,-180,-10.4448
78,-180,-10.4448
80,-180,-10.4448
82,-180,-10.4448
84,-180,-10.4448
86,-180,-10.4448
88,-180,-10.4448
90,-180,-10.4448
-90,-178,-10.6437
-88,-178,-10.6441
-86,-178,-10.644
-84,-178,-10.6434
-82,-178,-10.6423
-80,-178,-10.6407
-78,-178,-10.6387
-76,-178,-10.6362
-74,-178,-10.6332
-72,-178,-10.6297
-70,-178,-10.6259
-68,-178,-10.6217
-66,-178,-10.617
-64,-178,-10.6121
-62,-178,-10.6067
-60,-178,-10.6011
-58,-178,-10.5952
-56,-178,-10.5891
-54,-178,-10.5828
-52,-178,-10.5762
-50,-178,-10.5695
-48,-178,-10.5627
-46,-178,-10.5559
-44,-178,-10.5489
-42,-178,-10.542
-40,-178,-10.5351
-38,-178,-10.5282
-36,-178,-10.5214
-34,-178,-10.5148
