# 0 mm feed length
# Feed offset: 1.1258 mm

Phi[deg],Theta[deg],dB(GainTotal)
-90,-180,-10.4512
-88,-180,-10.4512
-86,-180,-10.4512
-84,-180,-10.4512
-82,-180,-10.4512
-80,-180,-10.4512
-78,-180,-10.4512
-76,-180,-10.4512
-74,-180,-10.4512
-72,-180,-10.4512
-70,-180,-10.4512
-68,-180,-10.4512
-66,-180,-10.4512
-64,-180,-10.4512
-62,-180,-10.4512
-60,-180,-10.4512
-58,-180,-10.4512
-56,-180,-10.4512
-54,-180,-10.4512
-52,-180,-10.4512
-50,-180,-10.4512
-48,-180,-10.4512
-46,-180,-10.4512
-44,-180,-10.4512
-42,-180,-10.4512
-40,-180,-10.4512
-38,-180,-10.4512
-36,-180,-10.4512
-34,-180,-10.4512
-32,-180,-10.4512
-30,-180,-10.4512
-28,-180,-10.4512
-26,-180,-10.4512
-24,-180,-10.4512
-22,-180,-10.4512
-20,-180,-10.4512
-18,-180,-10.4512
-16,-180,-10.4512
-14,-180,-10.4512
-12,-180,-10.4512
-10,-180,-10.4512
-8,-180,-10.4512
-6,-180,-10.4512
-4,-180,-10.4512
-2,-180,-10.4512
0,-180,-10.4512
2,-180,-10.4512
4,-180,-10.4512
6,-180,-10.4512
8,-180,-10.4512
10,-180,-10.4512
12,-180,-10.4512
14,-180,-10.4512
16,-180,-10.4512
18,-180,-10.4512
20,-180,-10.4512
22,-180,-10.4512
24,-180,-10.4512
26,-180,-10.4512
28,-180,-10.4512
30,-180,-10.4512
32,-180,-10.4512
34,-180,-10.4512
36,-180,-10.4512
38,-180,-10.4512
40,-180,-10.4512
42,-180,-10.4512
44,-180,-10.4512
46,-180,-10.4512
48,-180,-10.4512
50,-180,-10.4512
52,-180,-10.4512
54,-180,-10.4512
56,-180,-10.4512
58,-180,-10.4512
60,-180,-10.4512
62,-180,-10.4512
64,-180,-10.4512
66,-180,-10.4512
68,-180,-10.4512
70,-180,-10.4512
72,-180,-10.4512
74,-180,-10.4512
76,-180,-10.4512
78,-180,-10.4512
80,-180,-10.4512
82,-180,-10.4512
84,-180,-10.4512
86,-180,-10.4512
88,-180,-10.4512
90,-180,-10.4512
-90,-178,-10.7139
-88,-178,-10.7148
-86,-178,-10.7151
-84,-178,-10.7147
-82,-178,-10.7138
-80,-178,-10.7123
-78,-178,-10.7101
-76,-178,-10.7075
-74,-178,-10.7042
-72,-178,-10.7004
-70,-178,-10.6961
-68,-178,-10.6913
-66,-178,-10.686
-64,-178,-10.6803
-62,-178,-10.6741
-60,-178,-10.6676
-58,-178,-10.6607
-56,-178,-10.6534
-54,-178,-10.6459
-52,-178,-10.6381
-50,-178,-10.63
-48,-178,-10.6218
-46,-178,-10.6134
-44,-178,-10.6049
-42,-178,-10.5964
-40,-178,-10.5877
-38,-178,-10.5791
-36,-178,-10.5705
-34,-178,-10.562
-32,-178,-10.5536
-30,-178,-10.5453
-28,-178,-10.5372
-26,-178,-10.5293
-24,-178,-10.5217
-22,-178,-10.5143
-20,-178,-10.5072
-18,-178,-10.5005
-16,-178,-10.494
-14,-178,-10.488
-12,-178,-10.4824
-10,-178,-10.4772
-8,-178,-10.4724
-6,-178,-10.4681
-4,-178,-10.4642
-2,-178,-10.4609
0,-178,-10.458
2,-178,-10.4556
4,-178,-10.4537
6,-178,-10.4523
8,-178,-10.4514
10,-178,-10.451
12,-178,-10.4511
14,-178,-10.4517
16,-178,-10.4528
18,-178,-10.4543
20,-178,-10.4563
22,-178,-10.4587
24,-178,-10.4615
26,-178,-10.4647
28,-178,-10.4683
30,-178,-10.4722
32,-178,-10.4764
34,-178,-10.4809
36,-178,-10.4857
38,-178,-10.4907
40,-178,-10.4959
42,-178,-10.5013
44,-178,-10.5068
46,-178,-10.5123
48,-178,-10.518
50,-178,-10.5236
52,-178,-10.5293
54,-178,-10.5348
56,-178,-10.5403
58,-178,-10.5457
60,-178,-10.5509
62,-178,-10.5559
64,-178,-10.5606
66,-178,-10.5651
68,-178,-10.5693
70,-178,-10.5732
72,-178,-10.5767
74,-178,-10.5799
76,-178,-10.5827
78,-178,-10.585
80,-178,-10.5869
82,-178,-10.5883
84,-178,-10.5893
86,-178,-10.5898
88,-178,-10.5898
90,-178,-10.5894
-90,-176,-11.4101
-88,-176,-11.4121
-86,-176,-11.4118
-84,-176,-11.409
-82,-176,-11.4039
-80,-176,-11.3964
-78,-176,-11.3866
-76,-176,-11.3746
-74,-176,-11.3604
-72,-176,-11.3441
-70,-176,-11.3258
-68,-176,-11.3056
-66,-176,-11.2836
-64,-176,-11.2599
-62,-176,-11.2346
-60,-176,-11.208
-58,-176,-11.18
-56,-176,-11.1509
-54,-176,-11.1208
-52,-176,-11.0899
-50,-176,-11.0582
-48,-176,-11.026
-46,-176,-10.9934
-44,-176,-10.9606
-42,-176,-10.9276
-40,-176,-10.8947
-38,-176,-10.8619
-36,-176,-10.8295
-34,-176,-10.7976
-32,-176,-10.7662
