Phi[deg],Theta[deg],dB(GainTotal)
-90,-180,-11.5041
-88,-180,-11.5041
-86,-180,-11.5041
-84,-180,-11.5041
-82,-180,-11.5041
-80,-180,-11.5041
-78,-180,-11.5041
-76,-180,-11.5041
-74,-180,-11.5041
-72,-180,-11.5041
-70,-180,-11.5041
-68,-180,-11.5041
-66,-180,-11.5041
-64,-180,-11.5041
-62,-180,-11.5041
-60,-180,-11.5041
-58,-180,-11.5041
-56,-180,-11.5041
-54,-180,-11.5041
-52,-180,-11.5041
-50,-180,-11.5041
-48,-180,-11.5041
-46,-180,-11.5041
-44,-180,-11.5041
-42,-180,-11.5041
-40,-180,-11.5041
-38,-180,-11.5041
-36,-180,-11.5041
-34,-180,-11.5041
-32,-180,-11.5041
-30,-180,-11.5041
-28,-180,-11.5041
-26,-180,-11.5041
-24,-180,-11.5041
-22,-180,-11.5041
-20,-180,-11.5041
-18,-180,-11.5041
-16,-180,-11.5041
-14,-180,-11.5041
-12,-180,-11.5041
-10,-180,-11.5041
-8,-180,-11.5041
-6,-180,-11.5041
-4,-180,-11.5041
-2,-180,-11.5041
0,-180,-11.5041
2,-180,-11.5041
4,-180,-11.5041
6,-180,-11.5041
8,-180,-11.5041
10,-180,-11.5041
12,-180,-11.5041
14,-180,-11.5041
16,-180,-11.5041
18,-180,-11.5041
20,-180,-11.5041
22,-180,-11.5041
24,-180,-11.5041
26,-180,-11.5041
28,-180,-11.5041
30,-180,-11.5041
32,-180,-11.5041
34,-180,-11.5041
36,-180,-11.5041
38,-180,-11.5041
40,-180,-11.5041
42,-180,-11.5041
44,-180,-11.5041
46,-180,-11.5041
48,-180,-11.5041
50,-180,-11.5041
52,-180,-11.5041
54,-180,-11.5041
56,-180,-11.5041
58,-180,-11.5041
60,-180,-11.5041
62,-180,-11.5041
64,-180,-11.5041
66,-180,-11.5041
68,-180,-11.5041
70,-180,-11.5041
72,-180,-11.5041
74,-180,-11.5041
76,-180,-11.5041
78,-180,-11.5041
80,-180,-11.5041
82,-180,-11.5041
84,-180,-11.5041
86,-180,-11.5041
88,-180,-11.5041
90,-180,-11.5041
-90,-178,-11.8141
-88,-178,-11.8196
-86,-178,-11.8245
-84,-178,-11.8288
-82,-178,-11.8324
-80,-178,-11.8354
-78,-178,-11.8379
-76,-178,-11.8397
-74,-178,-11.8409
-72,-178,-11.8415
-70,-178,-11.8416
-68,-178,-11.8411
-66,-178,-11.84
-64,-178,-11.8384
-62,-178,-11.8363
-60,-178,-11.8337
-58,-178,-11.8307
-56,-178,-11.8272
-54,-178,-11.8232
-52,-178,-11.8189
