# Interceptor: Micromissile launched from Hydra-70 at 11.3 degrees above horizon
# Target: Drone at (6000, 0, 150) moving at (-10, 0, 0)
# Controller: MPC controller until 1 km to target, then proportional navigation
# MPC controller: distance cost factor = 4, speed cost factor = 1

Time since launch [s],Distance to target [m],Interceptor speed [m/s]
2.32,4232.74,1709.8
2.33,4215.8,1700.04
2.34,4198.96,1690.38
2.35,4182.21,1680.84
2.36,4165.56,1671.41
2.37,4149,1662.09
2.38,4132.53,1652.87
2.39,4116.16,1643.75
2.4,4099.88,1634.74
2.41,4083.68,1625.83
2.42,4067.58,1617.01
2.43,4051.57,1608.3
2.44,4035.64,1599.67
2.45,4019.8,1591.15
2.46,4004.04,1582.71
2.47,3988.37,1574.37
2.48,3972.78,1566.11
2.49,3957.28,1557.94
2.5,3941.85,1549.86
2.51,3926.51,1541.86
2.52,3911.25,1533.95
2.53,3896.07,1526.12
2.54,3880.96,1518.37
2.55,3865.94,1510.7
2.56,3850.99,1503.11
2.57,3836.11,1495.6
2.58,3821.31,1488.16
2.59,3806.59,1480.8
2.6,3791.94,1473.51
2.61,3777.36,1466.3
2.62,3762.86,1459.15
2.63,3748.43,1452.08
2.64,3734.07,1445.08
2.65,3719.78,1438.14
2.66,3705.55,1431.27
2.67,3691.4,1424.47
2.68,3677.32,1417.74
2.69,3663.3,1411.07
2.7,3649.35,1404.46
2.71,3635.47,1397.92
2.72,3621.65,1391.43
2.73,3607.9,1385.01
2.74,3594.21,1378.65
2.75,3580.59,1372.35
2.76,3567.03,1366.1
2.77,3553.53,1359.92
2.78,3540.1,1353.79
2.79,3526.72,1347.72
2.8,3513.41,1341.7
2.81,3500.16,1335.74
2.82,3486.97,1329.83
2.83,3473.84,1323.97
2.84,3460.77,1318.17
2.85,3447.75,1312.41
2.86,3434.8,1306.71
2.87,3421.9,1301.06
2.88,3409.06,1295.46
2.89,3396.27,1289.91
2.9,3383.54,1284.4
2.91,3370.87,1278.95
2.92,3358.25,1273.54
2.93,3345.69,1268.17
2.94,3333.18,1262.86
2.95,3320.73,1257.58
2.96,3308.32,1252.36
2.97,3295.98,1247.17
2.98,3283.68,1242.03
2.99,3271.43,1236.94
3,3259.24,1231.88
3.01,3247.1,1226.87
3.02,3235.01,1221.9
3.03,3222.97,1216.97
3.04,3210.98,1212.08
3.05,3199.04,1207.23
3.06,3187.15,1202.42
3.07,3175.3,1197.64
3.08,3163.51,1192.91
3.09,3151.76,1188.2
3.1,3140.06,1183.52
3.11,3128.41,1178.05
3.12,3116.81,1173.47
3.13,3105.25,1168.91
3.14,3093.74,1164.39
3.15,3082.27,1159.9
3.16,3070.85,1154.65
3.17,3059.47,1150.25
3.18,3048.14,1145.87
3.19,3036.85,1141.53
3.2,3025.61,1137.21
3.21,3014.41,1132.93
3.22,3003.25,1127.92
3.23,2992.14,1123.71
3.24,2981.07,1119.53
3.25,2970.04,1115.38
3.26,2959.05,1111.25
3.27,2948.1,1106.43
3.28,2937.2,1102.39
3.29,2926.34,1098.37
3.3,2915.51,1094.37
3.31,2904.73,1089.7
3.32,2893.99,1085.78
3.33,2883.28,1081.88
3.34,2872.62,1078.01
3.35,2862,1073.47
3.36,2851.41,1069.68
3.37,2840.87,1065.91
3.38,2830.36,1061.48
3.39,2819.89,1057.77
3.4,2809.45,1054.08
3.41,2799.06,1050.41
3.42,2788.7,1046.76
3.43,2778.38,1043.14
3.44,2768.09,1039.54
3.45,2757.85,1035.95
3.46,2747.63,1031.77
3.47,2737.46,1027.62
3.48,2727.32,1024.14
3.49,2717.21,1020.68
3.5,2707.14,1017.25
3.51,2697.11,1013.83
3.52,2687.11,1009.82
3.53,2677.14,1006.48
3.54,2667.21,1003.14
3.55,2657.31,999.815
3.56,2647.45,996.516
3.57,2637.62,992.647
3.58,2627.82,989.414
3.59,2618.06,986.181
3.6,2608.32,982.392
3.61,2598.62,979.227
3.62,2588.96,976.068
3.63,2579.32,972.926
3.64,2569.72,969.239
3.65,2560.15,966.159
3.66,2550.61,963.099
3.67,2541.1,960.04
3.68,2531.63,956.45
3.69,2522.18,953.452
3.7,2512.77,950.473
3.71,2503.38,947.491
3.72,2494.03,943.996
3.73,2484.7,941.076
3.74,2475.41,938.157
3.75,2466.14,935.254
3.76,2456.91,932.365
3.77,2447.7,928.98
3.78,2438.53,926.154
3.79,2429.38,923.325
3.8,2420.26,920.507
3.81,2411.17,917.208
3.82,2402.11,914.436
3.83,2393.08,911.675
3.84,2384.07,908.44
3.85,2375.1,905.738
3.86,2366.15,903.037
3.87,2357.23,900.347
3.88,2348.33,897.192
3.89,2339.46,894.557
3.9,2330.62,891.921
3.91,2321.81,889.297
3.92,2313.02,886.218
3.93,2304.27,883.633
3.94,2295.53,881.058
3.95,2286.83,878.037
3.96,2278.14,875.515
3.97,2269.49,872.992
3.98,2260.86,870.48
3.99,2252.26,867.531
4,2243.68,865.07
4.01,2235.13,862.605
4.02,2226.6,860.151
4.03,2218.1,857.709
4.04,2209.62,854.846
4.05,2201.17,852.44
4.06,2192.74,850.039
4.07,2184.34,847.227
4.08,2175.96,844.862
4.09,2167.61,842.51
4.1,2159.27,840.165
4.11,2150.97,837.837
4.12,2142.69,835.105
4.13,2134.43,832.807
4.14,2126.19,830.108
4.15,2117.98,827.841
4.16,2109.79,825.582
4.17,2101.63,823.332
4.18,2093.48,820.694
4.19,2085.36,818.479
4.2,2077.27,816.267
4.21,2069.19,814.068
4.22,2061.14,811.489
4.23,2053.11,809.32
4.24,2045.11,807.161
4.25,2037.12,804.626
4.26,2029.16,802.496
4.27,2021.22,799.99
4.28,2013.3,797.901
4.29,2005.4,795.811
4.3,1997.53,793.721
4.31,1989.67,791.27
4.32,1981.84,789.212
4.33,1974.03,787.161
4.34,1966.24,785.118
4.35,1958.47,782.719
4.36,1950.72,780.702
4.37,1942.99,778.331
4.38,1935.28,776.355
4.39,1927.6,774.371
4.4,1919.93,772.393
4.41,1912.29,770.414
4.42,1904.66,768.104
4.43,1897.06,766.16
4.44,1889.47,763.876
4.45,1881.9,761.974
4.46,1874.36,760.06
4.47,1866.83,757.812
4.48,1859.33,755.94
4.49,1851.84,754.058
4.5,1844.37,752.18
4.51,1836.93,749.978
4.52,1829.5,748.127
4.53,1822.09,745.949
4.54,1814.7,744.12
4.55,1807.33,742.297
4.56,1799.97,740.153
4.57,1792.64,738.354
4.58,1785.32,736.568
4.59,1778.03,734.456
4.6,1770.75,732.699
4.61,1763.49,730.931
4.62,1756.25,729.168
4.63,1749.03,727.411
4.64,1741.82,725.352
4.65,1734.64,723.615
4.66,1727.47,721.578
4.67,1720.32,719.863
4.68,1713.18,717.846
4.69,1706.07,716.151
4.7,1698.97,714.461
4.71,1691.89,712.776
4.72,1684.83,710.798
4.73,1677.78,709.134
4.74,1670.75,707.474
4.75,1663.74,705.526
4.76,1656.75,703.884
4.77,1649.77,702.244
4.78,1642.81,700.325
4.79,1635.87,698.709
4.8,1628.94,697.098
4.81,1622.04,695.49
4.82,1615.14,693.607
