# Interceptor: Micromissile launched from Hydra-70 at 11.3 degrees above horizon
# Target: Drone at (6000, 0, 150) moving at (-10, 0, 0)
# Controller: MPC controller until 1 km to target, then proportional navigation

Time since launch [s],Distance to target [m],Interceptor speed [m/s]
2.32,4232.74,1709.8
2.33,4215.8,1700.04
2.34,4198.96,1690.38
2.35,4182.21,1680.84
2.36,4165.56,1671.41
2.37,4149,1662.09
2.38,4132.53,1652.87
2.39,4116.16,1643.75
2.4,4099.88,1634.74
2.41,4083.68,1625.83
2.42,4067.58,1617.01
2.43,4051.57,1608.3
2.44,4035.64,1599.67
2.45,4019.8,1591.15
2.46,4004.04,1582.71
2.47,3988.37,1574.37
2.48,3972.78,1566.11
2.49,3957.28,1557.94
2.5,3941.85,1549.86
2.51,3926.51,1541.86
2.52,3911.25,1533.95
2.53,3896.07,1526.12
2.54,3880.96,1518.37
2.55,3865.94,1510.7
2.56,3850.99,1503.11
2.57,3836.11,1495.6
2.58,3821.31,1488.16
2.59,3806.59,1480.8
2.6,3791.94,1473.51
2.61,3777.36,1466.3
2.62,3762.86,1459.15
2.63,3748.43,1452.08
2.64,3734.07,1445.08
2.65,3719.78,1438.14
2.66,3705.55,1431.27
2.67,3691.4,1424.47
2.68,3677.32,1417.74
2.69,3663.3,1411.07
2.7,3649.35,1404.46
2.71,3635.47,1397.92
2.72,3621.65,1391.43
2.73,3607.9,1385.01
2.74,3594.21,1378.65
2.75,3580.59,1372.35
2.76,3567.03,1366.1
2.77,3553.53,1359.92
2.78,3540.1,1353.79
2.79,3526.72,1347.72
2.8,3513.41,1341.7
2.81,3500.16,1335.74
2.82,3486.97,1329.83
2.83,3473.84,1323.97
2.84,3460.77,1318.17
2.85,3447.75,1312.41
2.86,3434.8,1306.71
2.87,3421.9,1301.06
2.88,3409.06,1295.46
2.89,3396.27,1289.91
2.9,3383.54,1284.4
2.91,3370.87,1278.95
2.92,3358.25,1273.54
2.93,3345.69,1268.17
2.94,3333.18,1262.86
2.95,3320.73,1257.58
2.96,3308.32,1252.36
2.97,3295.98,1247.17
2.98,3283.68,1242.03
2.99,3271.43,1236.94
3,3259.24,1231.88
3.01,3247.1,1226.87
3.02,3235.01,1221.9
3.03,3222.97,1216.97
3.04,3210.98,1212.08
3.05,3199.04,1207.23
3.06,3187.15,1202.42
3.07,3175.3,1197.64
3.08,3163.51,1192.91
3.09,3151.76,1188.21
3.1,3140.06,1183.56
3.11,3128.41,1178.94
3.12,3116.81,1174.35
3.13,3105.25,1169.8
3.14,3093.74,1165.29
3.15,3082.27,1160.81
3.16,3070.85,1156.37
3.17,3059.48,1151.96
3.18,3048.15,1147.59
3.19,3036.86,1143.25
3.2,3025.62,1138.94
3.21,3014.43,1134.67
3.22,3003.27,1130.43
3.23,2992.16,1126.22
3.24,2981.09,1122.04
3.25,2970.07,1117.89
3.26,2959.09,1113.78
3.27,2948.15,1109.69
3.28,2937.25,1105.64
3.29,2926.39,1101.62
3.3,2915.58,1097.62
3.31,2904.8,1093.66
3.32,2894.07,1089.72
3.33,2883.37,1085.82
3.34,2872.72,1081.94
3.35,2862.1,1078.09
3.36,2851.53,1074.26
3.37,2840.99,1070.47
3.38,2830.5,1066.7
3.39,2820.04,1062.96
3.4,2809.62,1059.25
3.41,2799.24,1055.56
3.42,2788.89,1051.89
3.43,2778.59,1048.26
3.44,2768.32,1044.65
3.45,2758.09,1041.06
3.46,2747.89,1037.5
3.47,2737.74,1033.97
3.48,2727.62,1030.45
3.49,2717.53,1026.97
3.5,2707.48,1023.5
3.51,2697.47,1020.06
3.52,2687.49,1016.65
3.53,2677.55,1013.25
3.54,2667.64,1009.88
3.55,2657.77,1006.54
3.56,2647.93,1003.21
3.57,2638.13,999.908
3.58,2628.36,996.627
3.59,2618.63,993.368
3.6,2608.93,990.131
3.61,2599.26,986.915
3.62,2589.63,983.72
3.63,2580.02,980.547
3.64,2570.46,977.394
3.65,2560.92,974.261
3.66,2551.42,971.149
3.67,2541.95,968.057
3.68,2532.51,964.985
3.69,2523.11,961.933
3.7,2513.73,958.9
3.71,2504.39,955.887
3.72,2495.08,952.893
3.73,2485.8,949.917
3.74,2476.56,946.961
3.75,2467.34,944.024
3.76,2458.15,941.104
3.77,2449,938.203
3.78,2439.87,935.321
3.79,2430.78,932.456
3.8,2421.71,929.609
3.81,2412.68,926.779
3.82,2403.67,923.967
3.83,2394.7,921.173
3.84,2385.75,918.395
3.85,2376.84,915.634
3.86,2367.95,912.891
3.87,2359.09,910.164
3.88,2350.26,907.453
3.89,2341.46,904.759
3.9,2332.69,902.081
3.91,2323.95,899.418
3.92,2315.23,896.772
3.93,2306.54,894.142
3.94,2297.88,891.527
3.95,2289.25,888.928
3.96,2280.65,886.344
3.97,2272.07,883.776
3.98,2263.52,881.222
3.99,2255,878.683
4,2246.51,876.159
4.01,2238.04,873.65
4.02,2229.6,871.156
4.03,2221.19,868.676
4.04,2212.8,866.21
4.05,2204.44,863.758
4.06,2196.1,861.32
4.07,2187.8,858.897
4.08,2179.51,856.487
4.09,2171.26,854.09
4.1,2163.03,851.708
4.11,2154.82,849.339
4.12,2146.64,846.983
4.13,2138.49,844.64
4.14,2130.36,842.311
4.15,2122.26,839.994
4.16,2114.18,837.691
4.17,2106.13,835.4
4.18,2098.1,833.122
4.19,2090.1,830.856
4.2,2082.12,828.603
4.21,2074.17,826.362
4.22,2066.24,824.134
4.23,2058.34,821.918
4.24,2050.46,819.713
4.25,2042.6,817.521
4.26,2034.77,815.341
4.27,2026.96,813.172
4.28,2019.18,811.015
4.29,2011.42,808.87
4.3,2003.68,806.736
4.31,1995.97,804.614
4.32,1988.28,802.502
4.33,1980.62,800.402
4.34,1972.97,798.313
4.35,1965.36,796.236
4.36,1957.76,794.169
4.37,1950.19,792.113
4.38,1942.64,790.067
4.39,1935.11,788.033
4.4,1927.61,786.009
4.41,1920.13,783.995
4.42,1912.67,781.992
4.43,1905.23,780
4.44,1897.82,778.017
4.45,1890.43,776.045
4.46,1883.06,774.083
4.47,1875.71,772.131
4.48,1868.39,770.189
4.49,1861.08,768.257
4.5,1853.8,766.334
4.51,1846.55,764.422
4.52,1839.31,762.519
4.53,1832.1,760.625
4.54,1824.9,758.741
4.55,1817.73,756.867
4.56,1810.58,755.001
4.57,1803.45,753.146
4.58,1796.35,751.299
4.59,1789.26,749.461
4.6,1782.2,747.633
4.61,1775.16,745.814
4.62,1768.13,744.003
4.63,1761.13,742.202
4.64,1754.16,740.409
4.65,1747.2,738.625
4.66,1740.26,736.85
4.67,1733.34,735.083
4.68,1726.45,733.325
4.69,1719.57,731.575
4.7,1712.72,729.834
4.71,1705.89,728.102
4.72,1699.07,726.377
4.73,1692.28,724.661
4.74,1685.51,722.953
4.75,1678.76,721.253
4.76,1672.03,719.561
4.77,1665.32,717.877
4.78,1658.63,716.202
4.79,1651.96,714.534
4.8,1645.31,712.874
4.81,1638.68,711.221
4.82,1632.07,709.577
4.83,1625.48,707.94
4.84,1618.91,706.311
4.85,1612.36,704.689
