# Interceptor: Micromissile launched from Hydra-70 at 11.3 degrees above horizon
# Target: Drone at (6000, 0, 150) moving at (-10, 0, 0)
# Controller: Proportional navigation only

Time since launch [s],Distance to target [m],Interceptor speed [m/s]
2.32,4232.74,1709.8
2.33,4215.8,1699.38
2.34,4198.96,1689.09
2.35,4182.21,1678.93
2.36,4165.57,1668.89
2.37,4149.01,1658.98
2.38,4132.55,1649.19
2.39,4116.19,1639.52
2.4,4099.91,1629.97
2.41,4083.73,1620.53
2.42,4067.64,1611.2
2.43,4051.64,1601.99
2.44,4035.72,1592.88
2.45,4019.89,1583.88
2.46,4004.15,1574.99
2.47,3988.49,1566.19
2.48,3972.92,1557.5
2.49,3957.43,1548.91
2.5,3942.02,1540.41
2.51,3926.7,1532.02
2.52,3911.45,1523.71
2.53,3896.29,1515.5
2.54,3881.2,1507.38
2.55,3866.19,1499.35
2.56,3851.26,1491.41
2.57,3836.4,1483.55
2.58,3821.62,1475.78
2.59,3806.92,1468.09
2.6,3792.29,1460.49
2.61,3777.73,1452.96
2.62,3763.24,1445.52
2.63,3748.83,1438.15
2.64,3734.49,1430.86
2.65,3720.21,1423.65
2.66,3706.01,1416.51
2.67,3691.88,1409.45
2.68,3677.81,1402.45
2.69,3663.81,1395.53
2.7,3649.88,1388.68
2.71,3636.02,1381.9
2.72,3622.22,1375.19
2.73,3608.48,1368.54
2.74,3594.81,1361.96
2.75,3581.21,1355.45
2.76,3567.66,1348.99
2.77,3554.18,1342.61
2.78,3540.76,1336.28
2.79,3527.41,1330.02
2.8,3514.11,1323.81
2.81,3500.87,1317.67
2.82,3487.7,1311.58
2.83,3474.58,1305.55
2.84,3461.52,1299.58
2.85,3448.52,1293.66
2.86,3435.57,1287.8
2.87,3422.69,1281.99
2.88,3409.86,1276.24
2.89,3397.08,1270.54
2.9,3384.36,1264.9
2.91,3371.7,1259.3
2.92,3359.09,1253.75
2.93,3346.54,1248.26
2.94,3334.04,1242.81
2.95,3321.59,1237.42
2.96,3309.19,1232.07
2.97,3296.85,1226.77
2.98,3284.55,1221.51
2.99,3272.31,1216.3
3,3260.12,1211.14
3.01,3247.98,1206.02
3.02,3235.9,1200.95
3.03,3223.85,1195.92
3.04,3211.86,1190.93
3.05,3199.92,1185.99
3.06,3188.03,1181.09
3.07,3176.18,1176.23
3.08,3164.38,1171.41
3.09,3152.63,1166.63
3.1,3140.93,1161.89
3.11,3129.27,1157.19
3.12,3117.66,1152.53
3.13,3106.09,1147.91
3.14,3094.57,1143.32
3.15,3083.1,1138.77
3.16,3071.66,1134.26
3.17,3060.28,1129.79
3.18,3048.93,1125.35
3.19,3037.63,1120.95
3.2,3026.38,1116.59
3.21,3015.16,1112.26
3.22,3003.99,1107.96
3.23,2992.86,1103.7
3.24,2981.78,1099.47
3.25,2970.73,1095.27
3.26,2959.72,1091.11
3.27,2948.76,1086.98
3.28,2937.84,1082.88
3.29,2926.95,1078.81
3.3,2916.11,1074.77
3.31,2905.31,1070.77
3.32,2894.54,1066.79
3.33,2883.82,1062.85
3.34,2873.13,1058.94
3.35,2862.49,1055.05
3.36,2851.88,1051.19
3.37,2841.31,1047.37
3.38,2830.77,1043.57
3.39,2820.28,1039.8
3.4,2809.82,1036.06
3.41,2799.39,1032.34
3.42,2789.01,1028.65
3.43,2778.66,1024.99
3.44,2768.35,1021.36
3.45,2758.07,1017.75
3.46,2747.83,1014.17
3.47,2737.62,1010.62
3.48,2727.45,1007.09
3.49,2717.31,1003.58
3.5,2707.21,1000.1
3.51,2697.14,996.645
3.52,2687.11,993.214
3.53,2677.11,989.807
3.54,2667.14,986.424
3.55,2657.21,983.065
3.56,2647.31,979.729
3.57,2637.44,976.417
3.58,2627.61,973.127
3.59,2617.81,969.86
3.6,2608.04,966.615
3.61,2598.3,963.393
3.62,2588.59,960.193
3.63,2578.92,957.014
3.64,2569.28,953.857
3.65,2559.67,950.721
3.66,2550.09,947.606
3.67,2540.54,944.512
3.68,2531.02,941.439
3.69,2521.53,938.386
3.7,2512.07,935.354
3.71,2502.64,932.341
3.72,2493.24,929.349
3.73,2483.87,926.376
3.74,2474.53,923.422
3.75,2465.22,920.488
3.76,2455.94,917.573
3.77,2446.69,914.677
3.78,2437.47,911.799
3.79,2428.27,908.94
3.8,2419.11,906.099
3.81,2409.97,903.276
3.82,2400.86,900.472
3.83,2391.77,897.685
3.84,2382.72,894.916
3.85,2373.69,892.164
3.86,2364.69,889.43
3.87,2355.71,886.713
3.88,2346.77,884.013
3.89,2337.85,881.329
3.9,2328.95,878.662
3.91,2320.09,876.012
3.92,2311.25,873.378
3.93,2302.43,870.761
3.94,2293.64,868.159
3.95,2284.88,865.573
3.96,2276.14,863.003
3.97,2267.43,860.449
3.98,2258.74,857.91
3.99,2250.08,855.386
4,2241.45,852.878
4.01,2232.84,850.385
4.02,2224.25,847.906
4.03,2215.69,845.443
4.04,2207.15,842.994
4.05,2198.64,840.559
4.06,2190.15,838.139
4.07,2181.68,835.733
4.08,2173.24,833.342
4.09,2164.82,830.964
4.1,2156.43,828.6
4.11,2148.06,826.25
4.12,2139.71,823.914
4.13,2131.39,821.591
4.14,2123.09,819.282
4.15,2114.81,816.985
4.16,2106.55,814.702
4.17,2098.32,812.433
4.18,2090.11,810.176
4.19,2081.92,807.931
4.2,2073.76,805.7
4.21,2065.62,803.481
4.22,2057.5,801.275
4.23,2049.4,799.081
4.24,2041.32,796.9
4.25,2033.26,794.73
4.26,2025.23,792.573
4.27,2017.22,790.428
4.28,2009.23,788.294
4.29,2001.26,786.173
4.3,1993.31,784.063
4.31,1985.38,781.965
4.32,1977.47,779.878
4.33,1969.59,777.802
4.34,1961.72,775.738
4.35,1953.88,773.685
4.36,1946.05,771.644
4.37,1938.25,769.613
4.38,1930.46,767.593
4.39,1922.7,765.584
4.4,1914.95,763.586
4.41,1907.23,761.599
4.42,1899.53,759.622
4.43,1891.84,757.656
4.44,1884.18,755.7
4.45,1876.53,753.755
4.46,1868.9,751.819
4.47,1861.3,749.894
4.48,1853.71,747.979
4.49,1846.14,746.075
4.5,1838.59,744.18
4.51,1831.06,742.295
4.52,1823.55,740.419
4.53,1816.05,738.554
4.54,1808.58,736.698
4.55,1801.12,734.851
4.56,1793.68,733.015
4.57,1786.26,731.187
4.58,1778.86,729.369
4.59,1771.48,727.56
4.6,1764.11,725.761
4.61,1756.77,723.97
4.62,1749.44,722.189
4.63,1742.12,720.416
4.64,1734.83,718.653
4.65,1727.55,716.898
4.66,1720.29,715.153
4.67,1713.05,713.415
4.68,1705.83,711.687
4.69,1698.62,709.967
4.7,1691.43,708.256
4.71,1684.25,706.553
4.72,1677.1,704.859
4.73,1669.96,703.173
4.74,1662.84,701.495
4.75,1655.73,699.825
4.76,1648.64,698.164
4.77,1641.57,696.511
4.78,1634.51,694.866
4.79,1627.47,693.228
4.8,1620.45,691.599
4.81,1613.44,689.978
4.82,1606.45,688.364
4.83,1599.47,686.758
4.84,1592.52,685.16
4.85,1585.57,683.57
4.86,1578.65,681.987
4.87,1571.73,680.412
4.88,1564.84,678.844
4.89,1557.96,677.283
4.9,1551.09,675.73
4.91,1544.24,674.185
4.92,1537.41,672.646
4.93,1530.59,671.115
4.94,1523.79,669.591
4.95,1517,668.074
4.96,1510.23,666.564
4.97,1503.47,665.061
4.98,1496.73,663.566
4.99,1490,662.077
5,1483.29,660.595
5.01,1476.59,659.12
5.02,1469.9,657.651
5.03,1463.24,656.19
5.04,1456.58,654.735
5.05,1449.94,653.287
5.06,1443.32,651.845
5.07,1436.71,650.41
5.08,1430.11,648.981
5.09,1423.53,647.559
5.1,1416.96,646.144
5.11,1410.4,644.734
5.12,1403.86,643.331
5.13,1397.34,641.935
5.14,1390.83,640.544
5.15,1384.33,639.16
5.16,1377.84,637.782
5.17,1371.37,636.41
5.18,1364.92,635.045
5.19,1358.47,633.685
5.2,1352.04,632.331
5.21,1345.63,630.984
5.22,1339.22,629.642
5.23,1332.83,628.306
5.24,1326.46,626.976
5.25,1320.09,625.652
5.26,1313.75,624.333
5.27,1307.41,623.021
5.28,1301.08,621.714
5.29,1294.77,620.412
5.3,1288.48,619.117
5.31,1282.19,617.827
5.32,1275.92,616.542
5.33,1269.66,615.263
5.34,1263.42,613.99
5.35,1257.18,612.722
5.36,1250.96,611.459
5.37,1244.75,610.202
5.38,1238.56,608.95
5.39,1232.38,607.704
5.4,1226.2,606.463
5.41,1220.05,605.227
5.42,1213.9,603.996
5.43,1207.77,602.771
5.44,1201.65,601.55
5.45,1195.54,600.335
5.46,1189.44,599.125
5.47,1183.35,597.92
5.48,1177.28,596.72
5.49,1171.22,595.525
5.5,1165.17,594.335
5.51,1159.13,593.149
5.52,1153.11,591.969
5.53,1147.1,590.794
5.54,1141.09,589.623
5.55,1135.1,588.458
5.56,1129.13,587.297
5.57,1123.16,586.141
5.58,1117.2,584.989
5.59,1111.26,583.843
5.6,1105.33,582.701
5.61,1099.41,581.563
5.62,1093.5,580.43
5.63,1087.6,579.302
5.64,1081.71,578.179
5.65,1075.84,577.06
5.66,1069.97,575.945
5.67,1064.12,574.835
5.68,1058.27,573.73
5.69,1052.44,572.628
5.7,1046.62,571.532
5.71,1040.81,570.439
5.72,1035.01,569.351
5.73,1029.23,568.268
5.74,1023.45,567.188
5.75,1017.68,566.113
5.76,1011.93,565.043
5.77,1006.18,563.976
5.78,1000.45,562.914
5.79,994.726,561.855
5.8,989.013,560.801
5.81,983.31,559.751
5.82,977.618,558.706
5.83,971.937,557.664
5.84,966.266,556.626
5.85,960.605,555.593
5.86,954.955,554.563
5.87,949.315,553.538
5.88,943.685,552.516
5.89,938.065,551.498
5.9,932.456,550.485
5.91,926.857,549.475
5.92,921.267,548.469
5.93,915.688,547.467
5.94,910.119,546.469
5.95,904.559,545.474
5.96,899.01,544.484
5.97,893.471,543.497
5.98,887.941,542.514
5.99,882.421,541.534
6,876.911,540.559
6.01,871.411,539.587
6.02,865.921,538.618
6.03,860.44,537.654
6.04,854.969,536.693
6.05,849.507,535.736
6.06,844.055,534.782
6.07,838.612,533.832
6.08,833.179,532.885
6.09,827.755,531.942
6.1,822.341,531.002
6.11,816.937,530.066
6.12,811.541,529.134
6.13,806.155,528.205
6.14,800.778,527.279
6.15,795.411,526.357
6.16,790.052,525.438
6.17,784.703,524.522
6.18,779.363,523.61
6.19,774.032,522.702
6.2,768.71,521.796
6.21,763.397,520.893
6.22,758.093,519.993
6.23,752.798,519.096
6.24,747.512,518.202
6.25,742.235,517.311
6.26,736.967,516.423
6.27,731.708,515.537
6.28,726.458,514.654
6.29,721.216,513.774
6.3,715.983,512.897
6.31,710.759,512.023
6.32,705.544,511.151
6.33,700.337,510.283
6.34,695.139,509.417
6.35,689.95,508.553
6.36,684.769,507.693
6.37,679.597,506.835
6.38,674.434,505.979
6.39,669.279,505.127
6.4,664.132,504.277
6.41,658.995,503.43
6.42,653.865,502.585
6.43,648.744,501.743
6.44,643.632,500.904
6.45,638.527,500.067
6.46,633.431,499.233
6.47,628.344,498.401
6.48,623.265,497.572
6.49,618.194,496.745
6.5,613.131,495.921
6.51,608.076,495.1
6.52,603.03,494.281
6.53,597.992,493.464
6.54,592.962,492.65
6.55,587.94,491.839
6.56,582.926,491.03
6.57,577.92,490.223
6.58,572.923,489.419
6.59,567.933,488.617
6.6,562.951,487.817
6.61,557.978,487.02
6.62,553.012,486.226
6.63,548.055,485.433
6.64,543.105,484.644
6.65,538.163,483.856
6.66,533.229,483.071
6.67,528.303,482.288
6.68,523.385,481.507
6.69,518.474,480.729
6.7,513.571,479.953
6.71,508.676,479.179
