# Micromissile
# Constant L/D = 5
# Initial speed = 1000 m/s
# Constant normal acceleration = 100 m/s^2
# No air drag, no gravity

Azimuth [rad],Speed [m/s]
0,1000
0.00100011,999.8
0.00200042,999.6
0.00300093,999.4
0.00400164,999.2
0.00500255,999
0.00600366,998.8
0.00700497,998.6
0.00800649,998.4
0.0090082,998.201
0.0100101,998.001
0.0110122,997.801
0.0120145,997.601
0.0130171,997.401
0.0140198,997.201
0.0150227,997.001
0.0160258,996.801
0.0170291,996.601
0.0180327,996.401
0.0190364,996.201
0.0200403,996.001
0.0210444,995.801
0.0220488,995.601
0.0230533,995.401
0.024058,995.201
0.0250629,995.001
0.0260681,994.801
0.0270734,994.601
0.028079,994.402
0.0290847,994.201
0.0300906,994.002
0.0310968,993.802
0.0321031,993.602
0.0331097,993.402
0.0341164,993.202
0.0351234,993.002
0.0361306,992.802
0.0371379,992.602
0.0381455,992.402
0.0391533,992.202
0.0401612,992.002
0.0411694,991.802
0.0421778,991.602
0.0431864,991.402
0.0441951,991.202
0.0452041,991.002
0.0462133,990.802
0.0472227,990.602
0.0482323,990.402
0.0492421,990.203
0.0502521,990.003
0.0512623,989.803
0.0522728,989.603
0.0532834,989.403
0.0542942,989.203
0.0553052,989.003
0.0563165,988.803
0.0573279,988.603
0.0583395,988.403
0.0593514,988.203
0.0603634,988.003
0.0613757,987.803
0.0623882,987.603
0.0634008,987.403
0.0644137,987.203
0.0654268,987.003
0.06644,986.803
0.0674535,986.603
0.0684672,986.403
0.0694811,986.204
0.0704952,986.004
0.0715095,985.804
0.0725241,985.604
0.0735388,985.404
0.0745537,985.204
0.0755688,985.004
0.0765842,984.804
0.0775997,984.604
0.0786155,984.404
0.0796314,984.204
0.0806476,984.004
0.081664,983.804
0.0826805,983.604
0.0836973,983.404
0.0847143,983.204
0.0857315,983.004
0.0867489,982.804
0.0877665,982.604
0.0887843,982.404
0.0898024,982.205
0.0908206,982.005
0.091839,981.805
0.0928577,981.605
0.0938765,981.405
0.0948956,981.205
0.0959149,981.005
0.0969343,980.805
0.097954,980.605
0.0989739,980.405
0.099994,980.205
0.101014,980.005
0.102035,979.805
0.103056,979.605
0.104077,979.405
0.105098,979.205
0.106119,979.005
0.107141,978.805
0.108162,978.605
0.109184,978.406
0.110206,978.206
0.111229,978.006
0.112251,977.806
0.113274,977.606
0.114297,977.406
0.115321,977.206
0.116344,977.006
0.117368,976.806
0.118392,976.606
0.119416,976.406
0.12044,976.206
0.121464,976.006
0.122489,975.806
0.123514,975.606
0.124539,975.406
0.125564,975.206
0.12659,975.006
0.127616,974.806
0.128642,974.606
0.129668,974.407
0.130694,974.207
0.131721,974.007
0.132748,973.807
0.133775,973.607
0.134802,973.407
0.135829,973.207
0.136857,973.007
0.137885,972.807
0.138913,972.607
0.139941,972.407
0.14097,972.207
0.141998,972.007
0.143027,971.807
0.144056,971.607
0.145086,971.407
0.146115,971.207
0.147145,971.007
0.148175,970.808
0.149205,970.608
0.150236,970.408
0.151266,970.208
0.152297,970.008
