# Micromissile
# Mass m = 0.37 kg
# Coefficient of drag C_D = 0.7
# Cross-sectional area = 3e-4 m^2
# Air density = 1.204 kg/m^3
# Initial speed = 1000 m/s
# No lift-induced drag, no gravity

Distance [m],Speed [m/s]
0,1000
10,996.594
20,993.211
30,989.85
40,986.513
50,983.198
60,979.905
70,976.634
80,973.384
90,970.157
99.625,966.951
109,963.765
118.375,960.601
127.75,957.458
137.125,954.335
146.5,951.232
155.875,948.149
165.25,945.087
174.625,942.044
184,939.02
193.375,936.016
202.75,933.031
212.125,930.065
221.5,927.118
230.875,924.19
240.25,921.28
249.625,918.388
259,915.514
268.375,912.658
277.75,909.82
287.125,907
296.062,904.197
304.812,901.411
313.562,898.643
322.312,895.891
331.062,893.156
339.812,890.438
348.562,887.737
357.312,885.051
366.062,882.382
374.812,879.729
383.562,877.092
392.312,874.47
401.062,871.865
409.812,869.274
418.562,866.699
427.312,864.139
436.062,861.595
444.812,859.065
453.562,856.55
462.312,854.05
471.062,851.564
479.812,849.093
488.562,846.636
497.312,844.193
505.562,841.765
513.688,839.35
521.812,836.949
529.938,834.562
538.062,832.188
546.188,829.828
554.312,827.481
562.438,825.148
570.562,822.827
578.688,820.52
586.812,818.225
594.938,815.943
603.062,813.674
611.188,811.418
619.312,809.174
627.438,806.942
635.562,804.723
643.688,802.516
651.812,800.321
659.938,798.138
668.062,795.967
676.188,793.807
684.312,791.659
692.438,789.523
700.562,787.399
708.688,785.285
716.812,783.183
724.875,781.093
732.375,779.013
739.875,776.945
747.375,774.887
754.875,772.84
762.375,770.804
769.875,768.779
777.375,766.764
784.875,764.76
792.375,762.767
799.875,760.783
807.375,758.81
814.875,756.848
822.375,754.895
829.875,752.952
837.375,751.02
844.875,749.097
852.375,747.184
859.875,745.281
867.375,743.388
874.875,741.504
882.375,739.629
889.875,737.764
897.375,735.909
904.875,734.063
912.375,732.226
919.875,730.398
927.375,728.579
934.875,726.77
942.375,724.969
949.875,723.177
957.375,721.394
964.875,719.62
972.062,717.855
978.938,716.098
985.812,714.35
992.688,712.61
999.562,710.879
1006.44,709.156
1013.31,707.441
1020.19,705.735
1027.06,704.037
1033.94,702.347
1040.81,700.665
1047.69,698.991
1054.56,697.325
1061.44,695.668
1068.31,694.018
1075.19,692.375
1082.06,690.741
1088.94,689.114
1095.81,687.495
1102.69,685.883
1109.56,684.279
1116.44,682.683
1123.31,681.094
1130.19,679.512
1137.06,677.938
1143.94,676.371
1150.81,674.811
1157.69,673.258
1164.56,671.713
1171.44,670.174
1178.31,668.643
1185.19,667.118
1192.06,665.601
1198.94,664.09
1205.81,662.587
1212.69,661.09
1219.56,659.599
1226.44,658.116
1233.31,656.639
1239.75,655.169
1246,653.705
1252.25,652.248
1258.5,650.797
1264.75,649.353
1271,647.915
1277.25,646.484
1283.5,645.058
1289.75,643.64
1296,642.227
1302.25,640.82
1308.5,639.42
1314.75,638.026
1321,636.637
1327.25,635.255
1333.5,633.879
1339.75,632.509
1346,631.145
1352.25,629.786
1358.5,628.434
1364.75,627.087
1371,625.746
1377.25,624.411
1383.5,623.081
1389.75,621.757
1396,620.439
1402.25,619.126
1408.5,617.819
1414.75,616.517
1421,615.221
1427.25,613.93
1433.5,612.645
1439.75,611.365
1446,610.09
1452.25,608.821
1458.5,607.557
1464.75,606.298
1471,605.044
1477.25,603.796
1483.5,602.552
1489.75,601.314
1496,600.081
1502.25,598.853
1508.5,597.63
1514.75,596.412
1521,595.199
1527.25,593.99
1533,592.787
1538.62,591.588
1544.25,590.395
1549.88,589.206
1555.5,588.022
1561.12,586.843
1566.75,585.668
1572.38,584.498
1578,583.333
1583.62,582.173
1589.25,581.017
1594.88,579.865
1600.5,578.718
1606.12,577.576
