# Micromissile
# Constant L/D = 5
# Initial speed = 1000 m/s
# Constant normal acceleration = 100 m/s^2
# With air drag, no gravity

Time [s],Azimuth [rad],Speed [m/s]
0,0,1000
0.01,0.00100199,996.394
0.02,0.0020076,992.813
0.03,0.00301683,989.256
0.04,0.00402968,985.723
0.05,0.00504616,982.214
0.06,0.00606626,978.728
0.07,0.00708999,975.266
0.08,0.00811735,971.826
0.09,0.00914833,968.41
0.1,0.010183,965.016
0.11,0.0112212,961.644
0.12,0.0122631,958.294
0.13,0.0133086,954.966
0.14,0.0143578,951.66
0.15,0.0154106,948.375
0.16,0.016467,945.112
0.17,0.0175271,941.869
0.18,0.0185908,938.648
0.19,0.0196582,935.446
0.2,0.0207292,932.266
0.21,0.0218039,929.105
0.22,0.0228822,925.965
0.23,0.0239641,922.844
0.24,0.0250497,919.743
0.25,0.026139,916.662
0.26,0.027232,913.599
0.27,0.0283285,910.556
0.28,0.0294288,907.532
0.29,0.0305327,904.526
0.3,0.0316403,901.539
0.31,0.0327515,898.57
0.32,0.0338664,895.619
0.33,0.034985,892.687
0.34,0.0361072,889.772
0.35,0.0372331,886.875
0.36,0.0383626,883.995
0.37,0.0394959,881.133
0.38,0.0406328,878.288
0.39,0.0417734,875.46
0.4,0.0429177,872.649
0.41,0.0440657,869.855
0.42,0.0452173,867.077
0.43,0.0463726,864.316
0.44,0.0475316,861.571
0.45,0.0486943,858.842
0.46,0.0498607,856.129
0.47,0.0510308,853.431
0.48,0.0522046,850.75
0.49,0.053382,848.084
0.5,0.0545632,845.434
0.51,0.0557481,842.798
0.52,0.0569366,840.178
0.53,0.0581289,837.573
0.54,0.0593249,834.983
0.55,0.0605245,832.407
0.56,0.0617279,829.846
0.57,0.062935,827.3
0.58,0.0641458,824.768
0.59,0.0653603,822.25
0.6,0.0665785,819.747
0.61,0.0678004,817.257
0.62,0.0690261,814.781
0.63,0.0702554,812.319
0.64,0.0714885,809.871
0.65,0.0727253,807.436
0.66,0.0739659,805.014
0.67,0.0752102,802.606
0.68,0.0764582,800.211
0.69,0.0777099,797.829
0.7,0.0789653,795.46
0.71,0.0802245,793.104
0.72,0.0814874,790.76
0.73,0.0827541,788.43
0.74,0.0840245,786.111
0.75,0.0852987,783.806
0.76,0.0865765,781.512
0.77,0.0878582,779.231
0.78,0.0891436,776.962
0.79,0.0904327,774.704
0.8,0.0917256,772.459
0.81,0.0930222,770.226
0.82,0.0943226,768.004
0.83,0.0956267,765.794
0.84,0.0969346,763.596
0.85,0.0982463,761.409
0.86,0.0995617,759.233
0.87,0.100881,757.068
0.88,0.102204,754.915
0.89,0.103531,752.773
0.9,0.104861,750.642
0.91,0.106195,748.522
0.92,0.107533,746.412
0.93,0.108875,744.313
0.94,0.110221,742.225
0.95,0.11157,740.148
0.96,0.112923,738.081
0.97,0.11428,736.024
0.98,0.115641,733.978
0.99,0.117006,731.942
1,0.118374,729.916
1.01,0.119746,727.9
1.02,0.121122,725.895
1.03,0.122502,723.899
1.04,0.123885,721.913
1.05,0.125272,719.937
1.06,0.126664,717.97
1.07,0.128058,716.013
1.08,0.129457,714.066
1.09,0.13086,712.128
1.1,0.132266,710.2
1.11,0.133676,708.281
1.12,0.13509,706.371
1.13,0.136508,704.47
1.14,0.13793,702.579
1.15,0.139355,700.696
1.16,0.140784,698.823
1.17,0.142217,696.958
1.18,0.143654,695.103
1.19,0.145095,693.256
1.2,0.14654,691.418
1.21,0.147988,689.588
1.22,0.14944,687.767
1.23,0.150896,685.955
1.24,0.152356,684.151
1.25,0.15382,682.356
1.26,0.155288,680.569
1.27,0.156759,678.79
1.28,0.158234,677.019
1.29,0.159714,675.257
1.3,0.161197,673.503
1.31,0.162684,671.757
1.32,0.164174,670.018
1.33,0.165669,668.288
1.34,0.167167,666.566
1.35,0.16867,664.851
1.36,0.170176,663.145
1.37,0.171686,661.446
1.38,0.1732,659.754
1.39,0.174718,658.071
1.4,0.17624,656.394
1.41,0.177765,654.726
1.42,0.179295,653.065
1.43,0.180828,651.411
1.44,0.182366,649.764
1.45,0.183907,648.124
1.46,0.185452,646.492
1.47,0.187001,644.868
1.48,0.188554,643.25
1.49,0.19011,641.64
1.5,0.191671,640.036
1.51,0.193236,638.44
1.52,0.194804,636.85
1.53,0.196376,635.268
1.54,0.197953,633.692
